OBJECTID_1 *;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto
6157;MG3655;заети площадки;Тополовград;Topolovgrad;Орлов дол;село;Orlov dol;village
6158;MG3685;заети площадки;Тополовград;Topolovgrad;Орлов дол;село;Orlov dol;village
6159;MG4635;заети площадки;Тополовград;Topolovgrad;Доброселец;село;Dobroselets;village
6160;MG5605;заети площадки;Тополовград;Topolovgrad;Чукарово;село;Chukarovo;village
6161;NG4645;заети площадки;Малко Търново;Malko Tarnovo;Калово;село;Kalovo;village
6162;KG7666;заети площадки;Пазарджик;Pazardjik;Алеко Константиново;село;Aleko Konstantinovo;village
6163;KG7696;заети площадки;Пещера;Peshtera;Капитан Димитриево;село;Kap. Dimitrievo;village
6164;LG2616;заети площадки;Родопи;Rodopi;Ягодово;село;Yagodovo;village
6165;MG5666;заети площадки;Елхово;Elhovo;Пчела;село;Pchela;village
6166;LG0657;заети площадки;Родопи;Rodopi;Оризари;село;Orizari;village
6167;LG1628;заети площадки;Пловдив;Plovdiv;Пловдив;град;Plovdiv;town
6168;LG4608;заети площадки;Садово;Sadovo;Поповица;село;Popovitsa;village
6169;MG8668;заети площадки;Болярово;Bolyarovo;Ружица;село;Ruzhitsa;village
6170;LG1723;заети площадки;Пловдив;Plovdiv;Пловдив;квартал;Plovdiv;quarter
6171;LG1743;заети площадки;Пловдив;Plovdiv;Пловдив;квартал;Plovdiv;quarter
6172;KG9796;заети площадки;Родопи;Rodopi;Цалапица;село;Tsalapitsa;village
6173;LG2706;заети площадки;Марица;Maritza;Калековец;село;Kalekovets;village
6174;KG6787;заети площадки;Септември;Septemvri;Ковачево;село;Kovachevo;village
6175;LG0767;заети площадки;Марица;Maritza;Бенковски;село;Benkovski;village
6176;KG6789;заети площадки;Септември;Septemvri;Бошуля;село;Boshulya;village
6177;LG2830;заети площадки;Раковски;Rakovski;Стряма;село;Stryama;village
6178;MG0832;заети площадки;Раднево;Radnevo;Ковач;село;Kovach;village
6179;MG5853;заети площадки;Тунджа;Tundja;Маломир;село;Malomir;village
6180;MG8817;заети площадки;Стралджа;Straldja;Каменец;село;Kamenets;village
6181;MG3869;заети площадки;Нова Загора;Nova Zagora;Прохорово;село;Prohorovo;village
6182;MG6809;заети площадки;Тунджа;Tundja;Тенево;село;Tenevo;village
6183;NG4914;заети площадки;Бургас;Burgas;Маринка;село;Marinka;village
6184;NG3996;заети площадки;Бургас;Burgas;Маринка;село;Marinka;village
6185;NG2937;заети площадки;Камено;Kameno;Тръстиково;село;Trastikovo;village
6186;NG3977;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6187;LG4908;заети площадки;Брезово;Brezovo;Бабек;село;Babek;village
6188;NG4908;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6189;NG4978;заети площадки;Созопол;Sozopol;Черноморец;село;Chernomorets;village
6190;NG4998;заети площадки;Созопол;Sozopol;Черноморец;село;Chernomorets;village
6191;NG3939;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6192;NH3020;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6193;MH5091;заети площадки;Ямбол;Yambol;Ямбол;град;Yambol;town
6194;NH3031;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6195;LH1032;заети площадки;Калояново;Kaloyanovo;Горна махала;село;Gorna mahala;village
6196;NH2082;заети площадки;Камено;Kameno;Черни връх;село;Cherni vrah;village
6197;MH5083;заети площадки;Ямбол;Yambol;Ямбол;град;Yambol;town
6198;MH6014;заети площадки;Ямбол;Yambol;Ямбол;град;Yambol;town
