OBJECTID;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
3286;LH2078;незаети площадки;Карлово;Karlovo;Пролом;село;Prolom;village;Пловдив;Plovdiv;58616;24.878348;42.518764;ПРОЛОМКАРЛОВО
3287;LH4018;незаети площадки;Брезово;Brezovo;Свежен;село;Svezhen;village;Пловдив;Plovdiv;65526;25.023452;42.506415;СВЕЖЕНБРЕЗОВО
3288;LH8058;незаети площадки;Стара Загора;Stara Zagora;Змейово;село;Zmeyovo;village;СтараЗагора;StaraZagora;31276;25.614418;42.499305;ЗМЕЙОВОСТАРАЗАГОРА
3289;MH1018;незаети площадки;Нова Загора;Nova Zagora;Брястово;село;Bryastovo;village;Сливен;Sliven;6788;25.931466;42.523885;БРЯСТОВОНОВАЗАГОРА
3290;MH4088;незаети площадки;Сливен;Sliven;Чокоба;село;Chokoba;village;Сливен;Sliven;81534;26.359032;42.520086;ЧОКОБАСЛИВЕН
3291;MH5048;незаети площадки;Тунджа;Tundja;Дражево;село;Drazhevo;village;Ямбол;Yambol;23501;26.443306;42.536755;ДРАЖЕВОТУНДЖА
3292;MH7068;незаети площадки;Стралджа;Straldja;Воденичане;село;Vodenichane;village;Ямбол;Yambol;11661;26.69287;42.546378;ВОДЕНИЧАНЕСТРАЛДЖА
3293;NH1058;незаети площадки;Камено;Kameno;Трояново;село;Troyanovo;village;Бургас;Burgas;73211;27.14492;42.555079;ТРОЯНОВОКАМЕНО
3294;NH2028;незаети площадки;Камено;Kameno;Камено;село;Kameno;village;Бургас;Burgas;35883;27.290669;42.569789;КАМЕНОКАМЕНО
3295;KH5049;незаети площадки;Панагюрище;Panagyurishte;Поибрене;село;Poibrene;village;Пазарджик;Pazardjik;57128;24.002615;42.503555;ПОИБРЕНЕПАНАГЮРИЩЕ
3296;KH6089;незаети площадки;Панагюрище;Panagyurishte;Панагюрище;град;Panagyurishte;town;Пазарджик;Pazardjik;55302;24.180243;42.502624;ПАНАГЮРИЩЕПАНАГЮРИЩЕ
3297;KH9049;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3298;LH1049;незаети площадки;Хисаря;Hisarya;Хисаря;град;Hisarya;town;Пловдив;Plovdiv;77270;24.703274;42.50247;ХИСАРЯХИСАРЯ
3299;LH2059;незаети площадки;Карлово;Karlovo;Бегунци;село;Beguntsi;village;Пловдив;Plovdiv;3109;24.879601;42.546702;БЕГУНЦИКАРЛОВО
3300;LH3049;незаети площадки;Карлово;Karlovo;Мраченик;село;Mrachenik;village;Пловдив;Plovdiv;49240;24.959645;42.500517;МРАЧЕНИККАРЛОВО
3301;LH8099;незаети площадки;Стара Загора;Stara Zagora;Змейово;село;Zmeyovo;village;СтараЗагора;StaraZagora;31276;25.614418;42.499305;ЗМЕЙОВОСТАРАЗАГОРА
3302;LH9049;незаети площадки;Стара Загора;Stara Zagora;Колена;село;Kolena;village;СтараЗагора;StaraZagora;38039;25.720382;42.477227;КОЛЕНАСТАРАЗАГОРА
3303;MH2099;незаети площадки;Нова Загора;Nova Zagora;Коньово;село;Konyovo;village;Сливен;Sliven;38426;26.163754;42.522717;КОНЬОВОНОВАЗАГОРА
3304;MH3009;незаети площадки;Нова Загора;Nova Zagora;Коньово;село;Konyovo;village;Сливен;Sliven;38426;26.163754;42.522717;КОНЬОВОНОВАЗАГОРА
3305;MH4099;незаети площадки;Сливен;Sliven;Чокоба;село;Chokoba;village;Сливен;Sliven;81534;26.359032;42.520086;ЧОКОБАСЛИВЕН
3306;MH5089;незаети площадки;Ямбол;Yambol;Ямбол;град;Yambol;town;Ямбол;Yambol;87374;26.503753;42.482419;ЯМБОЛЯМБОЛ
3307;MH7039;незаети площадки;Стралджа;Straldja;Воденичане;село;Vodenichane;village;Ямбол;Yambol;11661;26.69287;42.546378;ВОДЕНИЧАНЕСТРАЛДЖА
3308;MH7069;незаети площадки;Стралджа;Straldja;Воденичане;село;Vodenichane;village;Ямбол;Yambol;11661;26.69287;42.546378;ВОДЕНИЧАНЕСТРАЛДЖА
3309;MH8059;незаети площадки;Карнобат;Karnobat;Деветак;село;Devetak;village;Бургас;Burgas;20417;26.825364;42.573735;ДЕВЕТАККАРНОБАТ
3310;NH0089;незаети площадки;Карнобат;Karnobat;Аспарухово;село;Asparuhovo;village;Бургас;Burgas;775;27.11076;42.516918;АСПАРУХОВОКАРНОБАТ
3311;LH0120;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3312;LH2100;незаети площадки;Хисаря;Hisarya;Михилци;село;Mihiltsi;village;Пловдив;Plovdiv;48564;24.801191;42.523905;МИХИЛЦИХИСАРЯ
3313;LH3150;незаети площадки;Брезово;Brezovo;Свежен;село;Svezhen;village;Пловдив;Plovdiv;65526;25.023452;42.506415;СВЕЖЕНБРЕЗОВО
3314;LH5180;незаети площадки;Казанлък;Kazanlak;Горно Черковище;село;Gorno Cherkovishte;village;СтараЗагора;StaraZagora;49076;25.315177;42.574937;ГОРНОЧЕРКОВИЩЕКАЗАНЛЪК
3315;LH8140;незаети площадки;Мъглиж;Maglizh;Ягода;село;Yagoda;village;СтараЗагора;StaraZagora;87212;25.569091;42.541906;ЯГОДАМЪГЛИЖ
3316;MH0100;незаети площадки;Стара Загора;Stara Zagora;Оряховица;село;Oryahovitsa;village;СтараЗагора;StaraZagora;54016;25.811143;42.485958;ОРЯХОВИЦАСТАРАЗАГОРА
3317;MH3140;незаети площадки;Сливен;Sliven;Младово;село;Mladovo;village;Сливен;Sliven;48708;26.211041;42.529043;МЛАДОВОСЛИВЕН
3318;MH5170;незаети площадки;Сливен;Sliven;Желю войвода;село;Zhelyu voyvoda;village;Сливен;Sliven;29194;26.482684;42.594128;ЖЕЛЮВОЙВОДАСЛИВЕН
3319;MH7180;незаети площадки;Стралджа;Straldja;Воденичане;село;Vodenichane;village;Ямбол;Yambol;11661;26.69287;42.546378;ВОДЕНИЧАНЕСТРАЛДЖА
3320;MH9150;незаети площадки;Карнобат;Karnobat;Екзарх Антимово;село;Ekzarh Antimovo;village;Бургас;Burgas;27169;26.980861;42.525044;ЕКЗАРХАНТИМОВОКАРНОБАТ
