type;la;bg
plants;Centaurea immanuelis-loewii*;Имануелова метличина
plants;Centaurea inermis*;Дребна метличина
plants;Centaurea jankae*;Янкева метличина
plants;Centaurea kernerana*;Кернерова метличина
plants;Centaurea mannagetae subsp. pirinica*;Пиринска метличина
plants;Centaurea marshaliana*;Маршалова метличина
plants;Centaurea nigrescens*;Черна метличина
plants;Centaurea parilica*;Парилска метличина
plants;Centaurea pichleri*;Пихлерова метличина
plants;Centaurea pseudoaxillaris*;Лъжливопазвена метличина
plants;Centaurea rumelica*;Румелийска метличина
plants;Centaurea rupestris*;Скална метличина
plants;Centaurea wagenitziana*;Вагеницова метличина
plants;Centaurium littorale*;Крайбрежен червен кантарион
plants;Centaurium maritimum*;Морски червен кантарион
plants;Centranthus kellererii*;Келереров кентрантус
plants;Cephalanthera epipactoides*;Дремников главопрашник
plants;Chamaecytisus kovacevii*;Ковачев зановец
plants;Chamaecytisus neicheffii*;Нейчев зановец
plants;Chamaecytisus ratisbonensis*;Регенсбургски зановец
plants;Cheilanthes persica*;Персийски крайспорник
plants;Chondrilla urumoffii*;Урумов кривец
plants;Cicer montbretii*;Цариградски нахут
plants;Cicerbita pancicii*;Панчичева цицербита
plants;Cicerbita plumieri*;Крилатолистна цицербита
plants;Cicuta virosa*;Отровна цикута
plants;Circaea alpina*;Дребна чаровница
plants;Cirsium bulgaricum*;Българска паламида
plants;Cirsium stojanovii*;Стоянова паламида
plants;Cistus salvifolius*;Тамянка
plants;Clematis alpina*;Алпийски повет
plants;Cleome ornithopodioides*;Сераделовидно клеоме
plants;Colchicum bivonae*;Широколистен мразовец
plants;Colchicum borisii*;Борисов мразовец
plants;Colchicum davidovii*;Давидов мразовец
plants;Colchicum diampolis*;Ямболски мразовец
plants;Colchicum rhodopaeum*;Родопски мразовец
plants;Convolvulus althaeoides (= Convolvulus elegantissimum)*;Нежна поветица
plants;Convolvulus boissieri subsp. parnassicus (= Convolvulus compactus)*;Парнаска поветица
plants;Convolvulus boissieri subsp. suendermannii (= Convolvulus suendermannii)*;Зюндерманова поветица
plants;Convolvulus holosericeus*;Копринестовлакнеста поветица
plants;Convolvulus lineatus*;Теснолистна поветица
plants;Convolvulus persicus*;Персийска поветица
plants;Cortusa matthioli*;Мечо око
plants;Crambe tataria*;Татарско диво зеле
plants;Crassula tillaea*;Дебелолист
plants;Crataegus microphylla*;Дребнолистен глог
plants;Crataegus stevenii*;Ориенталски глог
plants;Crepis bithynica*;Битинска дрипавка
plants;Crepis schachtii*;Шахтова дрипавка
plants;Crepis stojanovii*;Стоянова дрипавка
plants;Cressa cretica*;Критска креса
plants;Crocus olivieri*;Оливиеров минзухар
plants;Crocus tommasinianus*;Томасиниев минзухар
plants;Cryptogramma crispa*;Къдрав скритолинейник
plants;Cyclamen coum*;Пролетно ботурче
plants;Cynoglossum germanicum*;Гололистна наумка
plants;Cynoglossum rotatum*;Кръгла наумка
plants;Cypripedium calceolus*;Венерино пантофче
plants;Cystopteris alpina*;Алпийска крехка папрат
plants;Cytinus clusii*;Цитинус
plants;Dactylorhiza incarnata*;Месночервена дактилориза
plants;Dactylorhiza kalopissii *;Калописиева дактилориза
plants;Daphne blagayana*;Благаево бясно дърво
plants;Daphne laureola*;Лаврово бясно дърво
plants;Daphne pontica*;Странджанско бясно дърво
plants;Delphinium fissum subsp. albiflorum*;Белоцветен шпорец
plants;Dianthus carthusianorum*;Картузиански карамфил
plants;Dianthus drenowskyanus*;Дреновски карамфил
plants;Dianthus kladovanus (= Dianthus pontederae subsp. kladovanus)*;Унгарски карамфил
plants;Dianthus nardiformis*;Картъловиден карамфил
plants;Dianthus pallidiflorus*;Бледоцветен карамфил
plants;Dianthus stribrnyi*;Стрибърнов карамфил
plants;Dianthus urumoffii*;Урумов карамфил
plants;Digitalis laevigata*;Гол напръстник
plants;Diphasiastrum alpinum*;Алпийски дифазиаструм
plants;Diphasiastrum complanatum*;Сплескан дифазиаструм
plants;Dittrichia viscosa (= Inula viscosa)*;Леплива дитрихия (лепкав оман)
plants;Draba korabensis*;Балканска рупа
plants;Dracunculus vulgaris*;Обикновен дракункулус
plants;Drosera rotundifolia*;Кръглолистна росянка
plants;Dryopteris villarii*;Вилариев дриоптерис
plants;Echium russicum*;Червено усойниче
plants;Edraianthus serbicus*;Сръбски едрайант
plants;Elatine alsinastrum*;Прешленолистен наводник
plants;Elatine triandra*;Тритичинков наводник
plants;Eleocharis carniolica*;Карниолска блатница
plants;Empetrum nigrum*;Черен емпетрум
plants;Ephedra campylopoda*;Катерлива ефедра
plants;Ephedra distachya*;Обикновена ефедра
plants;Epimedium pubigerum*;Епимедиум
plants;Epipactis greuterii*;Гройтеров дремник
plants;Epipactis leptochila*;Бледоустен дремник
plants;Epipactis palustris*;Блатен дремник
plants;Epipactis purpurata*;Пурпурен дремник
plants;Epipogium aphyllum*;Безлистен епипогиум
plants;Eranthis bulgaricus*;Български ерантис
plants;Erianthus ravennae*;Равенски ериантус
plants;Erica arborea*;Пирен
plants;Erigeron vichrensis*;Вихренска злолетница
plants;Eriolobus trilobata*;Триразделнолистен ериолобус
plants;Erodium absinthoides*;Балканско часовниче
plants;Eryngium maritimum*;Приморски ветрогон
plants;Eryngium palmatum*;Дланевидолистен ветрогон
plants;Erysimum comatum*;Качулата боянка
plants;Erysimum quadrangulum (= Syrenia cana auct.)*;Четириръбеста боянка
plants;Erysimum slavjankae*;Алиботушка боянка
plants;Euphorbia aleppica*;Алепска млечка
plants;Euphorbia lucida*;Лъскаволистна млечка
plants;Euphorbia peplis*;Пясъчна млечка
plants;Ferula orientalis*;Източна тимянка
plants;Festuca vaginata*;Влагалищна власатка
plants;Frankenia pulverulenta*;Франкения
plants;Fritillaria drenovskii*;Дряновска ведрица
plants;Fritillaria gussichiae*;Гусихиева ведрица
plants;Fritillaria meleagroides*;Шахматовидна ведрица
plants;Fritillaria orientalis*;Източна ведрица
plants;Fritillaria pontica*;Черноморска ведрица
plants;Fritillaria stribrnyi*;Стрибърнова ведрица
plants;Gagea chrysantha*;Хризантемов жълт гарвански лук
plants;Gagea heldreichii*;Хелдрайхиев жълт гарвански лук
plants;Galanthus elwesii*;Елвезиево кокиче
plants;Galanthus nivalis*;Снежно кокиче
plants;Galium demissum*;Дребно еньовче
plants;Galium procurrens*;Низбягващо еньовче
plants;Galium rhodopaeum*;Родопско еньовче
plants;Galium rubioides*;Брошово еньовче
plants;Genista germanica*;Немска жълтуга
plants;Genista pilosa*;Влакнеста жълтуга
plants;Gentiana acaulis*;Безстъблена тинтява
plants;Gentiana frigida*;Скална тинтява
plants;Gentiana lutea*;Жълта тинтява
plants;Gentiana punctata*;Петниста тинтява
plants;Gentianella amarella*;Истинска горчивка
plants;Gentianella crispata*;Къдрава горчивка
plants;Gentianella engadinensis*;Енгадинова горчивка
plants;Geranium aristatum*;Осилест здравец
plants;Geranium bohemicum*;Бохемски здравец
plants;Geranium macrostyllum*;Едростълбчест здравец
plants;Geranium palustre*;Блатен здравец
plants;Geum bulgaricum*;Българско омайниче
plants;Geum rhodopaeum*;Родопско омайниче
plants;Gladiolus palustris*;Блатно петльово перо
plants;Globularia trichosantha*;Равнинно гологлавче
plants;Glycyrrhiza glabra*;Гол сладник
plants;Goniolimon besseranum*;Бесерова змийска трева
plants;Goniolimon collinum*;Бяла змийска трева
plants;Goniolimon dalmaticum*;Далматинска змийска трева
plants;Goniolimon tataricum*;Татарска змийска трева
plants;Goodyera repens*;Пълзяща гудиера
plants;Groenlandia densa*;Гъстолистна гренландия
plants;Gypsophylla tekirae*;Текирска мишорка
plants;Gypsophylla trichotoma*;Тройновилужна мишорка
plants;Haberlea rhodopensis*;Родопски силивряк
plants;Halimione pedunculata*;Обикновено халимионе
plants;Halimione portulacoides*;Тученичево халимионе
plants;Hammarbia paludosa*;Блатиста хамарбия
plants;Haplophyllum balcanicum*;Балкански цялолист
plants;Haplophyllum thesioides*;Ленолистен цялолист
plants;Helichrysum plicatum*;Планински жълт смил
plants;Herminium monorchis*;Едногрудков херминиум
plants;Hesperis sylvestris*;Горски вечерник
plants;Hesperis theophrasti*;Балкански вечерник
plants;Hieracium belogradcense*;Белоградчишка рунянка
plants;Himantoglossum caprinum (= Himantoglosum hircinum)*;Обикновена пърчовка
plants;Hippophae rhamnoides*;Облепиха
plants;Hippuris vulgaris*;Обикновен хипурис
plants;Hottonia palustris*;Блатна перушина
plants;Hymenolobus procumbens (= Hornungia procumbens)*;Полегнал многосеменник
plants;Hypericum androsaemum*;Багрилна звъника
plants;Hypericum boissieri*;Боасиерова звъника
plants;Hypericum calycinum*;Чашковидна звъника
plants;Hypericum setiferum*;Четинеста звъника
plants;Hypericum thasium*;Тасоска звъника
plants;Iberis saxatilis*;Скален иберис
plants;Ilex aquifolium*;Обикновен джел
plants;Ilex colchica*;Колхидски джел
plants;Inula spiraeifolia*;Елиптичнолистен оман
plants;Iris aphylla*;Безлистна перуника
plants;Isoetes lacustris*;Езерен шилолист
plants;Jasone bulgarica*;Българско вятърче
plants;Juncus ranarius*;Жабешка дзука
plants;Juncus triglumis*;Трицветна дзука
plants;Juniperus excelsa*;Дървовидна хвойна
plants;Juniperus sabina*;Казашка хвойна
plants;Jurinea ledebourii*;Ледебуров миск
plants;Jurinea tzar-ferdinandii*;Бодлив миск
plants;Knautia byzantina*;Византийско червеноглавче
plants;Knautia dinarica*;Динарско червеноглавче
plants;Lactuca tatarica*;Татарска салата
plants;Laserpitium archangelica*;Архангеликов лазерпициум
plants;Lathraea rhodopaea*;Родопска горска майка
plants;Leontopodium alpinum*;Еделвайс
plants;Ligularia glauca*;Клинолистен див тютюн
plants;Ligularia sibirica*;Сибирски див тютюн
plants;Lilium albanicum*;Албански крем
plants;Lilium jankae*;Жълт крем
plants;Lilium rhodopaeum*;Родопски крем
plants;Limodorum abortivum*;Недоразвит лимодорум
plants;Limonium asterotrichum*;Маноловска гърлица
plants;Limonium bulgaricum*;Българска гърлица
plants;Limonium gmelinii*;Гмелинова гърлица
plants;Limonium latifolium*;Широколистна гърлица
plants;Limonium meyeri*;Мейерова гърлица
plants;Limonium vulgare*;Обикновена гърлица
plants;Linaria brachyphylla*;Къса лугачка
plants;Linaria peloponesiaca*;Гръцка лугачка
plants;Lindernia procumbens*;Лежаща линдерния
plants;Linum elegans*;Нежен лен
plants;Linum extraaxilare*;Старопланински лен
plants;Liparis loeseli*;Льозелов липарис
plants;Listera cordata*;Сърцевиден тайник
plants;Lloydia serotina*;Късна лойдия
plants;Ludwigia palustris*;Блатна лудвигия
plants;Luzula deflexa*;Разперена светлика
plants;Lycopodiella inundata (= Lepidotis inundata)*;Блатна ликоподиела
plants;Lysimachia thyrsiflora*;Европейско ленивче
plants;Lythrum thymifolia*;Мащеркова блатия
plants;Malcolmia orsiniana subsp. angulifolia*;Ъглолистна малколмия
plants;Malcolmia sеrbica*;Сръбска малколмия
plants;Maresia nana*;Дребна марезия
plants;Marsilea quadrifolia*;Четирилистно разковниче
plants;Matthiola odoratissima*;Ароматна матиола
plants;Menyanthes trifoliata*;Трилистна водна детелина
plants;Merendera rhodopaea*;Родопска мерендера
plants;Micromeria frivaldszkyana*;Фривалдскиева микромерия
plants;Micromeria juliana*;Юлианова микромерия
plants;Middendorfia borystenica*;Мидендорфия
plants;Minuartia diljanae*;Дилянова мишовка
plants;Minuartia rumelica*;Румелийска мишовка
plants;Minuartia stojanovii*;Стоянова мишовка
plants;Moehringia jankae*;Янкева кутявка
plants;Morina persica*;Персийска морина
plants;Myricaria germanica*;Немска мирикария
plants;Nepeta parviflora*;Черноморска коча билка
plants;Nepeta ucranica*;Украинска коча билка
plants;Nigella orientalis*;Източна челебитка
plants;Nuphar lutea*;Бърдуче
plants;Nymphaea alba*;Водна роза
plants;Nymphoides peltata*;Щитолистни какички
plants;Oenanthe tenuifolia*;Странджански воден морач
plants;Ononis repens*;Пълзящ гръмотрън
plants;Onopordon bracteatum*;Дългободилест онопордум
plants;Onosma rhodopaea*;Родопско омразниче
plants;Ophrys apifera*;Обикновена пчелица
plants;Ophrys argolica*;Гръцка пчелица
plants;Ophrys cornuta (= Ophrys scolopax subsp. cornuta*;Двурога пчелица
plants;Ophrys insectifera*;Муховидна пчелица
plants;Ophrys mammosa (=Ophrys sphegodes subsp. mammosa)*;Паяковидна пчелица
plants;Opopanax hironium subsp. bulgaricum*;Широколистен опопанакс
plants;Orchis laxiflora*;Редкоцветен салеп
plants;Orchis militaris*;Шлемовиден салеп
plants;Orchis papilionaceae*;Пеперудоцветен салеп
plants;Orchis provincialis*;Провански салеп
plants;Orchis spitzelii*;Шпитцелов салеп
plants;Osmunda regalis*;Царска папрат
plants;Otanthus maritimus*;Морски отантус
plants;Paeonia mascula*;Розов божур
plants;Paeonia tenuifolia*;Теснолистен божур
plants;Pallenis spinosa*;Бодлив паленис
plants;Pancratium maritimum*;Пясъчна лилия
plants;Papaver degenii*;Пирински мак
plants;Parietaria rhodopaea*;Родопска разваленка
plants;Pastinaca argyrophylla*;Жлезиствлакнест пащърнак
plants;Pedicularis palustris*;Блатно пропадниче
plants;Peplis alternifolia*;Теснолистен пеплис
plants;Petasites kablikianus*;Пиринска чобанка
plants;Petrorhagia alpina*;Алпийска мантийка
plants;Petrorhagia thessala*;Тесалска мантийка
plants;Petrosimonia brachiata*;Петросимония
plants;Peucedanum palustre*;Блатна самодивска трева
plants;Peucedanum ruthenicum*;Руска самодивска трева
plants;Pinus brutia*;Калабрийски бор
plants;Plantago cornuti*;Рогат живовлек
plants;Plantago maxima*;Гигантски живовлек
plants;Pleurospermum austriacum*;Австрийски плеуроспермум
plants;Polygala acarnanica*;Суха телчарка
plants;Polygala alpestris*;Алпийска телчарка
