type;la;bg
plants;Veronica grisebachii*;Гризебахово великденче
plants;Veronica multifida*;Перестолистно великденче
plants;Veronica turrilliana*;Търилово великденче
plants;Viola balcanica*;Балканска теменуга
plants;Viola delphinantha*;Дългошпореста теменуга
plants;Viola gracilis*;Стройна теменуга
plants;Viola grisebachiana*;Гризебахова теменуга
plants;Viola orbelica*;Рилска теменуга
plants;Viola palustris*;Блатна теменуга
plants;Viola parvula*;Дребна теменуга
plants;Viola perinensis*;Пиринска теменуга
plants;Viola persicifolia*;Прасковолистна теменуга
plants;Viola pumila*;Ниска теменуга
plants;Viola pyrenaica*;Пиренейска теменуга
plants;Viola speciosa*;Прекрасна теменуга
plants;Viola stojanovii*;Стоянова теменуга
plants;Abies alba subsp. alba;Бяла ела
plants;Abies alba subsp. borisii-regis;Цар-борисова ела
plants;Acanthus balcanicus;Балкански страшник
plants;Acer campestre;Клен
plants;Acer heldreichii subsp. Heldreichii;Планински клен, Жешля
plants;Acer hyrcanum;Хиркански ясен
plants;Acer monspessulanum;Маклен
plants;Acer platanoides;Шестил
plants;Acer pseudoplatanus;Явор
plants;Acer tataricum;Мекиш
plants;Achillea ageratifolia;Скален равнец
plants;Achillea clusiana;Планински равнец
plants;Achillea clypeolata;Жълт равнец
plants;Achillea coarctata;Сбитовлакнест равнец
plants;Achillea collina;Хълмов равнец
plants;Achillea depressa;Крилатолистен равнец
plants;Achillea grandifolia;Едролистен равнец
plants;Achillea lingulata;Езичестолистен равнец
plants;Achillea millefolium;Обикновен равнец
plants;Achillea serbica;Сръбски равнец
plants;Achillea setacea;Четинолистен равнец
plants;Achnatherum calamagrostis;Вейников ахнатерум
plants;Acinos alpinos;Алпийски ацинос
plants;Acinos arvensis;Полски ацинос
plants;Aconitum lamarkii;Жълта самакитка
plants;Aconitum variegatum;Синя самакитка
plants;Actaea spicata;Ресник
plants;Adenostyles alliariae;Белолистен аденостилес
plants;Adonis flammea;Огнен горицвет
plants;Adonis vernalis;Пролетен горицвет
plants;Aegilops comosa;Качулесто диво жито
plants;Aegilops cylindrica;Цилиндрично диво жито
plants;Aegilops geniculata;Коленчато диво жито
plants;Aegilops markgrafii;Опашато диво жито
plants;Aegilops neglecta;Пренебрегнато диво жито
plants;Aegilops triuncialis;Триунциево диво жито
plants;Aegopodium podagraria;Благ бъз, седмолист
plants;Aeluropus littoralis;Крайбрежен елуропус
plants;Aethionema rhodopaeum;Родопска етионема
plants;Agropyron brandzae;Бранзов житняк
plants;Agropyron cristatum;Гребеновиден житняк
plants;Agrostis canina;Кучешка полевица
plants;Agrostis capillaris;Обикновена полевица
plants;Agrostis castellana;Кастилска полевица
plants;Agrostis gigantea;Гигантска полевица
plants;Agrostis rupestris;Скална полевица
plants;Agrostis stolonifera;Издънкова полевица
plants;Ailanthus altissima;Айлант
plants;Aira elegantissima;Елегантен брол
plants;Ajuga chia;Хиоско срещниче
plants;Ajuga genevensis;Женевско срещниче
plants;Ajuga laxmannii;Лаксманово срещниче
plants;Ajuga reptans;Пълзящо срещниче
plants;Alchemilla bulgarica;Българско шапиче
plants;Alchemilla crinita;Дълговлакнесто шапиче
plants;Alchemilla erythropoda;Червенодръжково шапиче
plants;Alchemilla flabellata;Ветриловидно шапиче
plants;Alchemilla glabra;Голо шапиче
plants;Alchemilla glaucescens;Сивосинкаво шапиче
plants;Alchemilla monticola;Планинско шапиче
plants;Alchemilla obtusa;Тъполистно шапиче
plants;Alchemilla plicatula;Сгънатолистно шапиче
plants;Alchemilla pyrenaica;Пиренейско шапиче
plants;Alisma lanceolatum;Ланцетолистна лаваница
plants;Alisma plantago-aquatica;Жаблекова лаваница
plants;Alliaria petiolata;Лъжичина, чеснова трева
plants;Allium carinatum;Гребенест лук
plants;Allium cirrhosum;Красив лук
plants;Allium cupani;Купанов лук
plants;Allium flavum;Жълт лук
plants;Allium fuscum;Кафяв лук
plants;Allium melanantherum;Чернотичинков лук
plants;Allium moschatum;Мускатов лук
plants;Allium rhodopaeum;Родопски лук
plants;Allium saxatile;Скален лук
plants;Allium schoenoprasum (= Allium sibiricum);Салатен лук
plants;Allium scorodoprasum;Рокамбол
plants;Allium sphaerocephalon;Кръглоглав лук
plants;Allium ursinum;Мечи лук, левурда 
plants;Allium victorialis;Победен лук
plants;Alnus glutinosa;Черна елша
plants;Alnus incana;Бяла елша
plants;Alnus viridis;Планинска елша
plants;Alopecurus aequalis;Равна лисича опашка
plants;Alopecurus geniculatus;Коленчата лисича опашка
plants;Alopecurus gerardii;Жерардова лисича опашка
plants;Alopecurus myosuroides;Полска лисича опашка
plants;Alopecurus pratensis;Ливадна лисича опашка
plants;Alopecurus rendlei (= Alopecurus utriculatus);Мехуреста лисича опашка
plants;Alopecurus riloensis;Рилска лисича опашка
plants;Althaea cannabina;Конопена ружа
plants;Althaea hirsuta;Четинеста ружа
plants;Althaea officinalis;Лечебна ружа
plants;Alyssoides bulgarica;Български алисоидес
plants;Alyssum alyssoides;Чашков игловръх
plants;Alyssum bertolonii;Южен игловръх
plants;Alyssum caliacrae;Калиакренски игловръх
plants;Alyssum corymbosoides;Щитовиден игловръх
plants;Alyssum desertorum;Пустинен игловръх
plants;Alyssum hirsutum;Влакнест игловръх
plants;Alyssum minutum;Дребен игловръх
plants;Alyssum murale;Стенен игловръх
plants;Alyssum parviflorum (= Alyssum minus);Дребноцветен игловръх
plants;Alyssum pulvinare;Туфест игловръх
plants;Alyssum repens;Пълзящ игловръх
plants;Alyssum saxatile;Скален игловръх
plants;Alyssum tortuosum;Усукан игловръх
plants;Alyssum umbellatum;Сенниковиден игловръх
plants;Amaranthus albus;Бял щир
plants;Amaranthus lividus;Светъл щир
plants;Amelanchier ovalis;Обикновена ирга
plants;Ammophila arenaria;Пясъчна амофила
plants;Amorpha fruticosa;Черна акация
plants;Amygdalus nana;Нисък бадем
plants;Anchusa hybrida;Хибридно винче
plants;Anchusa officinalis;Лечебно винче
plants;Andrachne telephioides;Обикновено андрахне
plants;Androsace villosa;Туфест оклоп
plants;Anemone blanda;Хубава съсънка
plants;Anemone nemorosa;Бяла съсънка
plants;Anemone ranunculoides;Лютиковидна съсънка
plants;Angelica pancicii;Балканска пищялка
plants;Angelica sylvestris;Горска пищялка
plants;Antennaria dioica;Витошки еделвайс
plants;Anthemis auriculata;Уховидно подрумче
plants;Anthemis carpatica;Карпатско подрумче
plants;Anthemis cretica;Критско подрумче
plants;Anthemis tinctoria;Жълто подрумче
plants;Anthericum liliago;Неразклонен венечник
plants;Anthericum ramosum;Разклонен венечник
plants;Anthoxanthum aristatum;Осилеста миризливка
plants;Anthoxanthum ododratum;Обикновена миризливка
plants;Anthriscus nemorosa;Дъбравен азмацук
plants;Anthriscus sylvestris;Горски азмацук
plants;Anthyllis montana;Планинска раменка
plants;Anthyllis vulneraria;Целебна раменка
plants;Apera spica-venti;Обикновена ветрушка
plants;Aphanes arvensis;Полски афанес
plants;Arabis hirsuta;Влакнеста гъшарка
plants;Arabis recta;Права гъшарка
plants;Arabis sagittata;Стрелолистна гъшарка
plants;Arabis turrita;Дългоплодна гъшарка
plants;Arctium lappa;Обикновен репей
plants;Arctostaphylos uva-ursi;Мечо грозде
plants;Aremonia agrimonoides;Матруня
plants;Arenaria biflora;Двуцветна песъчарка
plants;Arenaria procera;Висока песъчарка
plants;Arenaria serpyllifolia;Полегнала песъчарка
plants;Aristella bromoides (= Stipa bromoides);Късоосилеста аристела
plants;Aristolochia clematitis;Обикновена вълча ябълка
plants;Armeria alpina;Високопланинско лъжичниче
plants;Armeria rumelica;Обикновено лъжичниче
plants;Armoracia macrocarpa;Хрян
plants;Arrhenatherum elatius;Висок райграс
plants;Artemisia alba;Катраника
plants;Artemisia annua;Едногодишен пелин
plants;Artemisia austriaca;Австрийски пелин
plants;Artemisia campestris;Полски пелин
plants;Artemisia santonicum;Сантонинов пелин
plants;Artemisia scoparia;Метловиден пелин
plants;Arum elongatum;Удължен змиярник
plants;Arum italicum;Италиански змиярник
plants;Arum maculatum;Петнист змиярник
plants;Arum orientale;Източен змиярник
plants;Asarum europaeum;Европейски копитник
plants;Asparagus acutifolius;Остролистна зайча сянка
plants;Asparagus officinalis;Лечебна зайча сянка
plants;Asparagus tenuifolius;Тънколистна зайча сянка
plants;Asparagus verticillatus;Прешленеста зайча сянка
plants;Asperula aristata;Дългоцветна лазаркиня
plants;Asperula capitata;Главеста лазаркиня
plants;Asperula cynanchica;Обикновена лазаркиня
plants;Asperula pirinica;Пиринска лазаркиня
plants;Asperula purpurea;Червена лазаркиня
plants;Asperula taurina;Милосърдниче
plants;Asphodeline liburnica;Либурнийско асфоделине
plants;Asphodeline lutea;Жълто асфоделине
plants;Asphodelus albus;Бял бърдун
plants;Asplenium adiantum-nigrum;Черно изтравниче
plants;Asplenium fissum;Нацепенолистно изтравниче
plants;Asplenium ruta-muraria;Стенно изтравниче
plants;Asplenium septentrionale;Северно изтравниче
plants;Asplenium trichomanes;Обикновено изтравниче
plants;Asplenium viride;Зелено изтравниче
plants;Aster alpinus;Алпийско димитровче
plants;Aster amellus;Влакнесто димитровче
plants;Aster linosyris;Бодливо димитровче
plants;Aster oleifolius;Маслинолистно димитровче
plants;Aster tripolium;Голо димитровче
plants;Asteriscus aquaticus;Воден астерискус
plants;Asterolinon linum-stellatum;Зведолен
plants;Astragalus angustifolius;Теснолистно сграбиче
plants;Astragalus austriacus;Австрийско сграбиче
plants;Astragalus contortuplicatus;Дунавско сграбиче
plants;Astragalus depressus;Сплеснато сграбиче
plants;Astragalus gladiatus;Кинжаловидно сграбиче
plants;Astragalus glaucus;Сивосинкаво сграбиче
plants;Astragalus glycyphylloides;Лъжесладколистно сграбиче
plants;Astragalus haarbachii;Хаарбахиево сграбиче
plants;Astragalus hamosus;Извито сграбиче
plants;Astragalus monspessulanus;Монпелийско сграбиче
plants;Astragalus onobrychis;Еспарзетово сграбиче
plants;Astragalus ponticus;Черноморско сграбиче
plants;Astragalus spruneri;Спрунерово сграбиче
plants;Astragalus varius;Пъстро сграбиче
plants;Astragalus vesicarius ;Подутоплодно сграбиче
plants;Asyneuma anthericoides;Антериковидно варниче
plants;Asyneuma limonifolium;Лимонолистно варниче
plants;Athyrium distentifolium;Алпийска женска папрат
plants;Athyrium filix-femina;Обикновена женска папрат
plants;Atriplex hastata;Копиелистна лобода
plants;Atriplex nitens;Лъскава лобода
plants;Atriplex tatarica;Татарска лобода
plants;Atropa bella-donna;Обикновено лудо биле
plants;Aubrieta columnae;Стълбчеста аубриета
plants;Aubrieta intermedia;Междинна аубриета
plants;Avena clauda;Клаудов овес овес
plants;Avena eriantha;Добруджански овес
plants;Avena fatua;Див овес
plants;Avenula compressa;Сплеснат овесец
plants;Avenula versicolor;Пъстроцветен овесец
plants;Azolla filiculoides;Обикновена азола
plants;Baeothryon caespitosum (= Trichophorum caespitosum);Туфест пухонос
plants;Barbarea balcana;Балканска злина
plants;Barbarea bracteosa;Прицветникова злина
plants;Bartsia alpina;Алпийска язовка
plants;Beckmannia eruciformis;Обикновена биволско просо
plants;Bellardia trixago;Белардия
plants;Bellardiochloa variegata (= Bellardiochloa violacea);Пъстра белардиохлоа
plants;Bellis sylvestris;Горска паричка
plants;Berberis vulgaris;Обикновен кисел трън
plants;Berteroa incana;Сива турия
plants;Berula erecta;Теснолистна берула
plants;Betonica bulgarica;Български ранилист
plants;Betonica officinalis (= Stachys officinalis);Лечебен ранилист
plants;Betula pendula;Бяла бреза
plants;Bidens cernua;Наведен бутрак
plants;Bidens frondosa;Многолистен бутрак
plants;Bidens tripartita;Триделен бутрак
plants;Bisserula pelicinus;Трионче
plants;Bistorta major (= Polygonum bistorta);Обикновено кървавиче
plants;Bistorta vivipara (= Polygonum viviparum);Живородно кървавиче
plants;Bolboschoenus maritimus;Морски болбосхьонус
plants;Bombycilaena erecta;Изправена бомбицилена
plants;Bothriochloa ischaemum (=Dichanthium ischaemum);Бял бозалък
plants;Brachypodium pinnatum;Перест късокрак
plants;Brachypodium sylvaticum;Горски късокрак
plants;Brassica elongata;Дългометличесто зеле
plants;Briza humilis;Класовидна сълзица
plants;Briza maxima;Едра сълзица
plants;Briza media;Обикновена сълзица
plants;Bromus arvensis;Полска овсига
plants;Bromus commutatus;Обикновена овсига
plants;Bromus erectus;Изправена овсига
plants;Bromus hordeaceus;Мека овсига
plants;Bromus inermis;Безосилеста овсига
plants;Bromus intermedius;Междинна овсига
plants;Bromus lacmonicus;Лакмонска овсига
plants;Bromus madritensis;Мадридска овсига
plants;Bromus moesiacus;Мизийска овсига
plants;Bromus racemosus;Гроздовидна овсига
plants;Bromus ramosus;Разклонена овсига
plants;Bromus riparius;Брегова овсига
plants;Bromus scoparius;Сбита овсига
plants;Bromus squarrosus;Разперена овсига
plants;Bromus sterilis;Дългоосилеста овсига
plants;Bromus tectorum;Покривна овсига
plants;Bruckenthalia spiculifolia;Връшняк
plants;Bryonia alba;Бяла дива тиква
plants;Buglossoides purpurocaerulea;Виолетова белоочица
plants;Bupleurum apiculatum;Островърха урока
plants;Bupleurum falcatum;Сърповидна урока
plants;Bupleurum flavum;Жълта урока
plants;Bupleurum praealtum;Висока урока
plants;Bupleurum tenuissimum;Изящна урока
plants;Butomus umbellatus;Обикновен водолюб
plants;Cakile maritima subsp. euxina;Крайморско какиле
plants;Calamagrostis arundinacea;Горски вейник
plants;Calamagrostis canescens;Сив вейник
plants;Calamagrostis epigejos;Приземен вейник
plants;Calamagrostis pseudophragmites;Тръстиков вейник
plants;Calamintha grandiflora;Едроцветно миризливче
plants;Callitriche cophocarpa;Тъпоплодно дренче
plants;Callitriche palustris;Блатно дренче
plants;Callitriche stagnalis;Езерно дренче
plants;Caltha palustris;Обикновен блатняк
plants;Calystegia sepium;Обикновено чадърче
plants;Calystegia sylvatica;Горско чадърче
plants;Campanula alpina;Алпийска камбанка
plants;Campanula bononiensis;Болонска камбанка
plants;Campanula cochlearifolia;Дребна камбанка
plants;Campanula glomerata;Главеста камбанка
plants;Campanula lingulata;Езичеста камбанка
plants;Campanula moesiaca;Мизийска камбанка
plants;Campanula patula;Разперена камбанка
plants;Campanula persicifolia;Прасковолистна камбанка
plants;Campanula phrygia;Фригийска камбанка
plants;Campanula rapunculoides;Едностранна камбанка
plants;Campanula rapunculus;Ряповидна камбанка
plants;Campanula rotundifolia;Кръглолистна камбанка
plants;Campanula scheuchzeri;Шойхцерова камбанка
plants;Campanula scutellata;Щитовидна камбанка
plants;Campanula sibirica;Сибирска камбанка
plants;Campanula sparsa;Разперена камбанка
plants;Campanula trachelium;Коприволистна камбанка
plants;Campanula velebitica;Велебитска камбанка
plants;Camphorosma annua;Едногодишна камфорка
plants;Camphorosma monspeliaca;Монпелийска камфорка
plants;Capsella bursa-pastoris;Овчарска торбичка
plants;Cardamine amara;Горчива горва
plants;Cardamine barbaraeoides;Балканска горва
plants;Cardamine flexuosa;Извита горва
plants;Cardamine graeca;Гръцка горва
plants;Cardamine hirsuta;Влакнеста горва
plants;Cardamine impatiens;Нежна горва
plants;Cardamine pectinata;Гребеновидна горва
plants;Cardamine pratensis;Ливадна горва
plants;Cardamine raphanifolia;Ряполистна горва
plants;Cardamine rivularis;Крайручейна горва
plants;Cardaminopsis arenosa;Кардаминопсис
plants;Carduus acanthoides;Обикновен магарешки бодил
plants;Carduus candicans;Бял магарешки бодил
plants;Carduus nutans;Наведен магарешки бодил
plants;Carduus personata;Маскиран магарешки бодил
plants;Carex acuta;Остра острица
plants;Carex acutiformis;Възостра острица
plants;Carex atrata;Възчерна острица
plants;Carex brevicollis;Късошийчеста острица
plants;Carex bulgarica;Българска острица
plants;Carex buxbaumii;Буксбаумова острица
plants;Carex caespitosa;Туфеста острица
plants;Carex caryophyllea;Пролетна острица
plants;Carex cinerea (= Carex curta);Сивобяла острица
plants;Carex curvula;Извита острица
plants;Carex digitata;Длановидна острица
plants;Carex distans;Разреденокласа острица
plants;Carex disticha;Двуреда острица
plants;Carex echinata;Ежовидна острица
plants;Carex ericetorum;Ерикова острица
plants;Carex flacca;Повиснала острица
plants;Carex flava;Жълта острица
plants;Carex fuliginosa;Тъмнокафява острица
plants;Carex hallerana;Халерова острица
plants;Carex heleonastes;Торфена острица
plants;Carex hirta;Твърдовлакнеста острица
plants;Carex humilis;Ниска острица
plants;Carex kitaibeliana;Китайбелова острица
plants;Carex lasiocarpa;Влакнестоплодна острица
plants;Carex ligerica ;Лигерийска острица
plants;Carex limosa;Тинеста острица
plants;Carex melanostachya;Шаренокласа острица
plants;Carex michelii;Мишелова острица
plants;Carex montana;Планинска острица
plants;Carex muricata;Бодлива острица
plants;Carex nigra;Черна острица
plants;Carex ovalis (= Carex leporina);Заешка острица
plants;Carex pallescens;Бледа острица
plants;Carex panicea;Просена острица
plants;Carex paniculata;Метличеста острица
plants;Carex parviflora;Пиринска острица
plants;Carex pendula;Увиснала острица
plants;Carex pilosa;Ресничеста острица
plants;Carex praecox;Ранна острица
plants;Carex punctata;Брадавичеста острица
plants;Carex pyrenaica;Пиренейска острица
plants;Carex remota;Редкокласа острица
plants;Carex riparia;Брегова острица
plants;Carex rostrata;Човчеста острица
plants;Carex rupestris;Скална острица
plants;Carex serotina (= Carex viridula);Късна острица
plants;Carex spicata;Класовидна острица
plants;Carex sylvatica;Горска острица
plants;Carex tomentosa;Наплъстена острица
plants;Carex tricolor;Трицветна острица
plants;Carex umbrosa;Сенчеста острица
plants;Carex vesicaria;Мехуреста острица
plants;Carex vulpina;Лисича острица
plants;Carex сaryophyllea;Пролетна острица
plants;Carlina acanthifolia;Безстъблена решетка
plants;Carlina corymbosa;Щитовидна решетка
plants;Carlina lanata;Вълнеста решетка
plants;Carlina vulgaris;Обикновена решетка
plants;Carpinus betulus;Обикновен габър
plants;Carpinus orientalis;Келяв габър
plants;Carthamus lanatus;Вълнест аспур
plants;Carum carvi;Обикновен кимион
plants;Carum rigidulum subsp. bulgaricum;Български кимион
plants;Castanea sativa;Кестен
plants;Catabrosa aquatica;Воден ручейник
plants;Caucalis platycarpos;Бабинец
plants;Celtis australis;Южна копривка
plants;Celtis glabrata;Оголена копривка
plants;Centaurea affinis;Сродна метличина
plants;Centaurea calcitrapa;Бодлива метличина
plants;Centaurea caliacrae;Калиакренска метличина
plants;Centaurea chrysolepis;Златиста метличина
plants;Centaurea diffusa;Рехава метличина
plants;Centaurea jacea;Ливадна метличина
plants;Centaurea napulifera;Ряповидна метличина
plants;Centaurea nervosa;Едноцветна метличина
plants;Centaurea orientalis;Източна метличина
plants;Centaurea rutifolia;Седефчелистна метличина
plants;Centaurea solstitialis;Слънчева метличина
plants;Centaurea spinulosa;Бодлива метличина
plants;Centaurea stereophylla;Твърдолистна метличина
plants;Centaurea thracica;Тракийска метличина
plants;Centaurea triumfettii;Триумфетова метличина
plants;Centaurium spicatum;Класовиден червен кантарион
plants;Centaurium turcicum;Турски червен кантарион
plants;Cephalanthera damasonium;Бял главопрашник
plants;Cephalanthera longifolia;Дълголистен главопрашник
plants;Cephalanthera rubra;Червен главопрашник
plants;Cephalaria laevigata;Лъскава звездоглавка
plants;Cephalaria transsilvanica;Трансилванска звездоглавка
plants;Cephalaria uralensis;Уралска звездоглавка
plants;Cephalorrhynchus tuberosus;Грудков цефалоринхус
plants;Cerastium alpinum;Алпийски рожец
plants;Cerastium arvense;Полски рожец
plants;Cerastium banaticum;Банатски рожец
plants;Cerastium brachypetalum;Късовенечен рожец
plants;Cerastium bulgaricum;Български рожец
plants;Cerastium cerastoides;Тристълбчест рожец
plants;Cerastium decalvans;Балкански рожец
plants;Cerastium dubium;Съмнителен рожец
plants;Cerastium glomeratum;Кълбестосъцветен рожец
plants;Cerastium lanatum;Вълнест рожец
plants;Cerastium moesiacum;Мизийски рожец
plants;Cerastium petricola;Каменист рожец
plants;Cerastium pumilum;Дребен рожец
plants;Cerastium semidecandrum;Петтичинков рожец
plants;Cerastium velenovskyi;Веленовскиев рожец
plants;Cerasus avium;Череша
plants;Cerasus fruticosa;Храстовидна вишня
plants;Cerasus mahaleb (= Prunus mahaleb);Махалебка, дива череша
plants;Ceratophyllum demersum;Плаващ роголистник
plants;Ceratophyllum submersum;Потопен роголистник
plants;Ceterach officinarum;Златиста папрат
plants;Chaerophyllum aureum;Златист балдаран
plants;Chaerophyllum byzantinum;Византийски балдаран
plants;Chaerophyllum hirsutum;Влакнест балдаран
plants;Chaerophyllum temulentum;Замайващ балдаран
plants;Chamaecytisus absinthioides;Балкански зановец
plants;Chamaecytisus albus;Бял зановец
plants;Chamaecytisus austriacus;Австрийски зановец
plants;Chamaecytisus calcareus;Скален зановец
plants;Chamaecytisus frivaldszkyanus;Фривалдскиев зановец
plants;Chamaecytisus hirsutus;Космат зановец
plants;Chamaecytisus jankae;Янкев зановец
plants;Chamaecytisus pygmaeus;Алпийски зановец
plants;Chamaecytisus supinus;Главест зановец
plants;Chamaenerion angustifolium (= Epilobium angustifolium);Теснолистен кипрей
plants;Chamaespartium sagittale;Прещип
plants;Chelidonium majus;Змийско мляко
plants;Chenopodium album;Бяла кучешка лобода
plants;Chenopodium ambrosioides;Миризлива кучешка лобода
plants;Chenopodium botrys;Огнивче
plants;Chenopodium glaucum;Синьозелена кучешка лобода
plants;Chenopodium polyspermum;Сладък бурен
plants;Chenopodium rubrum;Червена кучешка лобода
plants;Chondrilla juncea;Обикновен кривец
plants;Chrysopogon gryllus;Черна садина
plants;Chrysosplenium alternifolium;Последователнолистна жълтина
plants;Cicerbita alpina;Алпийски млечник
plants;Cichorium intybus;Обикновена синя жлъчка
plants;Cionura erecta;Изправено клинавче
plants;Circaea lutetiana;Едра чаровница
plants;Cirsium appendiculatum;Балканска паламида
plants;Cirsium arvense;Полска паламида
plants;Cirsium canum;Кучешка паламида
plants;Cirsium heterotrichum;Разновлакнеста паламида
plants;Cirsium ligulare;Езичестолистна паламида
plants;Cirsium vulgare;Обикновена паламида
plants;Cistus incanus;Памуклийка
plants;Cladium mariscus;Режещ кладиум
plants;Cleistogenes bulgarica;Български клейстогенес
plants;Cleistogenes serotina;Плетеничест клейстогенес
plants;Clematis flammula;Червен повет
plants;Clematis integrifolia;Целолистен повет
plants;Clematis vitalba;Обикновен повет
plants;Clematis viticella;Лозовиден повет
plants;Clinopodium vulgare;Котешка стъпка
plants;Clypeola jonthlaspi;Клипеола
plants;Cnicus benedictus;Лечебна пресечка
plants;Colchicum autumnale;Широколистен мразовец
plants;Colutea arborescens;Плюскач
plants;Comandra elegans;Изящна командра
plants;Convallaria majalis;Момина сълза
plants;Convolvulus arvensis;Полска поветица
plants;Convolvulus boissieri;Скална поветица
plants;Convolvulus cantabrica;Кантабрийска поветица
plants;Conyza canadensis;Канадска кониза
plants;Corallorhiza trifida;Триделна коралка
plants;Corispermum nitidum;Лъскава камилска трева
plants;Cornus mas;Обикновен дрян
plants;Cornus sanguinea;Кучешки дрян
plants;Coronilla emerus;Храстовидна зайчина
plants;Coronilla scorpioides;Скорпионовидна зайчина
plants;Coronilla varia;Пъстра зайчина
plants;Corydalis bulbosa;Грудеста лисичина
plants;Corydalis solida;Плътногрудеста лисичина
plants;Corylus avellana;Обикновена леска
plants;Corylus colurna;Турска леска
plants;Cotinus coggygria;Смрадлика
plants;Cotoneaster integerrimus;Целокраен котонеастер
plants;Cotoneaster nebrodensis;Наплъстен котонеастер
plants;Cotoneaster niger;Черноплоден котонеастер
plants;Crambe maritima;Крайморско диво зеле
plants;Crataegus monogina;Обикновен глог
plants;Crataegus pentagyna;Черен глог
plants;Crepis biennis;Двугодишна дрипавка
plants;Crepis paludosa;Блатна дрипавка
plants;Crepis sancta;Палестинска дрипавка
plants;Crepis setosa;Четинеста дрипавка
plants;Crepis zacintha;Закинтска дрипавка
plants;Crithmum maritimum;Морски копър
plants;Crocus biflorus;Двуцветен минзухар
plants;Crocus flavus;Жълт минзухар
plants;Crocus pulchellus;Красив минзухар
plants;Crocus reticulatus;Пъстър минзухар
plants;Crocus veluchensis;Планински минзухар
plants;Crucianella angustifolia;Теснолистна кръстатка
plants;Crucianella graeca;Гръцка кръстатка
plants;Cruciata glabra;Гол кръстец
plants;Cruciata laevipes;Многоцветен кръстец
plants;Cruciata pedemontana;Лепкав кръстец
plants;Crupina crupinastrum;Южна крупина
plants;Crupina vulgaris;Обикновена крупина
plants;Crypsis aculeata;Бодливка
plants;Crypsis alopecuroides;Класовидна скритокласица
plants;Crypsis schoenoides;Камъшова скритокласица
plants;Cucubalus baccifer;Гушевица
plants;Cyclamen hederifolium;Бръшлянолистно ботурче
plants;Cynanchum acutum;Увивен устрел
plants;Cynodon dactylon;Троскот
plants;Cynoglossum creticum;Пъстра наумка
plants;Cynosurus cristatus;Обикновен сеноклас
plants;Cynosurus echinatus;Четинест сеноклас
plants;Cyperus fuscus;Кафяв циперус
plants;Cyperus glomeratus;Главест циперус
plants;Cyperus rotundus;Закръглен циперус
plants;Cyperus strigosus;Четинеста кисела трева
plants;Cystopteris fragilis;Обикновена крехка папрат
plants;Cystopteris regia;Алпийска крехка папрат
plants;Dactylis glomerata;Ежова главица
plants;Dactylorhiza cordigera;Сърцевиден дланокоренник
plants;Dactylorhiza maculata;Петнист дланокоренник
plants;Dactylorhiza saccifera;Торбест дланокоренник
plants;Danthonia alpina;Двузъба дантония
plants;Daphne cneorum;Ниско бясно дърво
plants;Daphne mezereum;Обикновено бясно дърво
plants;Daphne oleoides;Маслиноподобно бясно дърво
plants;Daucus carota;Обикновен морков
plants;Daucus guttatus;Четинест морков
plants;Delphinium balcanicum;Средиземноморски шпорец
plants;Dentaria bulbifera (= Cardamine bulbifera);Луковичен зъбник
plants;Deschampsia caespitosa;Туфеста плъстица
plants;Deschampsia flexuosa;Къдрава плъстица
plants;Desmazeria rigida;Твърда дезмацерия
plants;Dianthus armeria;Армериовиден карамфил
plants;Dianthus campestris;Полски карамфил
plants;Dianthus corymbosus;Щитовиден карамфил
plants;Dianthus cruentus;Осилест карамфил
plants;Dianthus deltoides;Делтовиден карамфил
plants;Dianthus giganteiformis;Гигантовиден карамфил
plants;Dianthus giganteus;Гигантски карамфил
plants;Dianthus gracilis;Изящен карамфил
plants;Dianthus microlepis;Дребнолюспест карамфил
plants;Dianthus moesiacus;Мизийски карамфил
plants;Dianthus pallens;Бледен карамфил
plants;Dianthus petraeus;Скален карамфил
plants;Dianthus pinifolius;Иглолистен карамфил
plants;Dianthus pseudarmeria;Лъжеармериовиден карамфил
plants;Dianthus superbus;Превъзходен карамфил
plants;Dianthus tristis;Мрачен карамфил
plants;Dichostylis michelianus (= Cyperus michelianus);Михелов дихостилис
plants;Dictamnus albus;Росен
plants;Digitalis ferruginea;Ръждив напръстник
plants;Digitalis lanata;Вълнест напръстник
plants;Digitalis viridiflora;Зеленоцветен напръстник
plants;Digitaria sanguinalis;Кървава росичка
plants;Diplotaxis muralis;Стенна двуредка
plants;Dipsacus laciniatus;Нарязанолистна лугачка
plants;Doronicum austriacum;Австрийски див слънчоглед
plants;Doronicum columnae;Стълбчест див слънчоглед
plants;Doronicum hungaricum;Унгарски див слънчоглед
plants;Doronicum orientale;Източен див слънчоглед
plants;Dorycnium graecum;Широколистно звездниче
plants;Dorycnium herbaceum;Тревисто звездниче
plants;Draba aizoides;Вечнозелена рупа
plants;Draba athoa;Атоска рупа
plants;Draba carinthiaca;Каринтийска рупа
plants;Draba lasiocarpa;Влакнестоплодна рупа
plants;Draba muralis ;Стенна рупа
plants;Draba scardica;Шарпланинска рупа
plants;Draba tomentosa;Наплъстена рупа
plants;Dryas octopetala;Сребърник
plants;Dryopteris carthusiana;Бодлива папрат
plants;Dryopteris dilatata;Гребенеста мъжка папрат
plants;Dryopteris filix-mas;Мъжка папрат
plants;Echinaria capitata;Главеста бодливка
plants;Echinochloa crus-galli;Даражан
