id;type;la;bg;en
2551;herptiles;Epidalea viridis;Зелена крастава жаба;European Green Toad
2552;herptiles;Platyceps najadum;Тънък стрелец (стрелушка);Dahl’s Whip Snake
2553;herptiles;Lacerta trilineata;Ивичест гущер;Balkan Green Lizard
2554;herptiles;Platyceps collaris;Черноврата стрелушка;Reddish Whip Snake
2555;herptiles;Zamenis situla;Леопардов смок;Leopard Snake
2556;mammals;Apodemus agrarius;Полска мишка;Striped Field Mouse
2557;mammals;Ursus arctos;Кафява мечка;Brown Bear
2558;mammals;Rhinolophus mehelyi;Подковонос на Мехели;Mehely's Horseshoe Bat
2559;herptiles;Trachemys scripta;Червенобуза костенурка;Red-eared Slider
2560;mammals;Neomys anomalus;Малка водна земеровка;Miller's Water shrew
2561;mammals;Cricetus cricetus;Голям хомяк;Common Hamster
2562;mammals;Tursiops truncatus;Афала;Bottle-nosed Dolphin
2563;mammals;Plecotus austriacus;Сив дългоух прилеп;Brown Long-eared Bat
2564;herptiles;Vipera ammodytes;Пепелянка;Nose-horned Viper
2565;mammals;Muscardinus avellanarius;Лешников сънливец;Hezel Dormouse
2566;mammals;Mus musculus musculus;Домашна мишка;House Mouse
2567;mammals;Sicista subtilis;Скачаща степна мишка;Southern Birch Mouse
2568;mammals;Rupicapra rupicapra;Дива коза;Alpine Chamois
2569;mammals;Pipistrellus pipistrellus;Кафяво прилепче;Common Pipistrelle
2570;herptiles;Zootoca vivipara;Живороден гущер;Viviparous Lizard
2571;mammals;Microtus subterraneus;Подземна полевка;Common Pine Vole
2572;mammals;Dama dama;Елен лопатар;Fallow Deer
2573;mammals;Nyctalus lasiopterus;Голям вечерник;Greater Noctule
2574;herptiles;Zamenis longissimus;Смок мишкар;Aesculapian Snake
2575;mammals;Sylvaemus uralensis;Малка горска мишка;Pygmy Field Mouse
2576;mammals;Spalax leucodon;Сляпо куче;Lesser Mole-rat
2577;mammals;Ovis gmelinii;Муфлон;Mouflon
2578;mammals;Hypsugo savii;Прилепче на Сави;Savi's Pipistrelle
2579;herptiles;Malpolon insignitus;Вдлъбнаточел смок;Eastern Montpellier Snake
2580;herptiles;Lacerta agilis;Ливаден гущер;Sand Lizard
2581;herptiles;Rana dalmatina;Горска жаба;Agile Frog
2582;herptiles;Mauremys rivulata;Каспийска блатна костенурка;Balkan Terrapin
2583;herptiles;Pseudopus apodus;Жълтокоремник (змиегущер);Scheltopusik
2584;mammals;Sorex araneus;Обикновена кафявозъбка;Common Shrew
2585;mammals;Mus spicilegus;Степна домашна мишка;Steppe Mouse
2586;mammals;Mustela eversmani;Степен пор;Steppe Polecat
2587;mammals;Myotis emarginatus;Трицветен нощник;Geoffroy's Bat
2588;mammals;Lepus europeus;Див заек;European Hare
2589;mammals;Chinomys nivalis;Снежна полевка;Show Vole
2590;mammals;Meles meles;Язовец;Badger
2591;mammals;Myotis brandtii;Нощник на Брандт;Brandt's bat
2592;herptiles;Triturus cristatus;Северен гребенест тритон;Macedonian Crested Newt
2593;mammals;Oryctolagus cuniculus;Заек подземник;Rabbit
2594;mammals;Lutra lutra;Видра;Eurasian Otter
2595;mammals;Myotis daubentonii;Воден нощник;Daubenton's Bat
