OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
4654;Павликени;Pavlikeni;Стамболово;село;Stambolovo;village;ВеликоТърново;VelikoTarnovo;68708;25.368393;43.210226;СТАМБОЛОВОПАВЛИКЕНИ
4657;Павликени;Pavlikeni;Росица;село;Rositsa;village;ВеликоТърново;VelikoTarnovo;63080;25.25802;43.195954;РОСИЦАПАВЛИКЕНИ
4658;Павликени;Pavlikeni;Вишовград;село;Vishovgrad;village;ВеликоТърново;VelikoTarnovo;11380;25.298935;43.156827;ВИШОВГРАДПАВЛИКЕНИ
4660;Павликени;Pavlikeni;Мусина;село;Musina;village;ВеликоТърново;VelikoTarnovo;49429;25.429564;43.156461;МУСИНАПАВЛИКЕНИ
4662;ВеликоТърново;VelikoTarnovo;Ветринци;село;Vetrintsi;village;ВеликоТърново;VelikoTarnovo;10879;25.429218;43.067801;ВЕТРИНЦИВЕЛИКОТЪРНОВО
4667;Дряново;Dryanovo;Чуково;село;Chukovo;village;Габрово;Gabrovo;81726;25.410924;43.015401;ЧУКОВОДРЯНОВО
4668;Дряново;Dryanovo;Балванците;село;Balvantsite;village;Габрово;Gabrovo;2378;25.449898;43.019331;БАЛВАНЦИТЕДРЯНОВО
4669;Дряново;Dryanovo;Каломен;село;Kalomen;village;Габрово;Gabrovo;35465;25.426955;43.030941;КАЛОМЕНДРЯНОВО
4671;Дряново;Dryanovo;Туркинча;село;Turkincha;village;Габрово;Gabrovo;73465;25.480551;43.019155;ТУРКИНЧАДРЯНОВО
4672;Дряново;Dryanovo;Пейна;село;Peyna;village;Габрово;Gabrovo;55703;25.430072;43.003784;ПЕЙНАДРЯНОВО
4674;Дряново;Dryanovo;Геня;село;Genya;village;Габрово;Gabrovo;14762;25.494708;43.006018;ГЕНЯДРЯНОВО
4675;Дряново;Dryanovo;Крънча;село;Krancha;village;Габрово;Gabrovo;40316;25.481174;43.001004;КРЪНЧАДРЯНОВО
4676;Дряново;Dryanovo;Плачка;село;Plachka;village;Габрово;Gabrovo;56705;25.432426;43.017196;ПЛАЧКАДРЯНОВО
4677;Севлиево;Sevlievo;Идилево;село;Idilevo;village;Габрово;Gabrovo;32336;25.25268;43.0374;ИДИЛЕВОСЕВЛИЕВО
4678;ВеликоТърново;VelikoTarnovo;Буковец;село;Bukovets;village;ВеликоТърново;VelikoTarnovo;6940;25.489702;43.046082;БУКОВЕЦВЕЛИКОТЪРНОВО
4684;Павликени;Pavlikeni;ДолнаЛипница;село;DolnaLipnitsa;village;ВеликоТърново;VelikoTarnovo;22160;25.46388;43.316794;ДОЛНАЛИПНИЦАПАВЛИКЕНИ
4685;Дряново;Dryanovo;Еленците;село;Elentsite;village;Габрово;Gabrovo;27276;25.443738;43.03261;ЕЛЕНЦИТЕДРЯНОВО
4686;Стамболово;Stambolovo;Пътниково;село;Patnikovo;village;Хасково;Haskovo;59207;25.651921;41.681495;ПЪТНИКОВОСТАМБОЛОВО
4687;Стамболово;Stambolovo;Воденци;село;Vodentsi;village;Хасково;Haskovo;11692;25.685355;41.683049;ВОДЕНЦИСТАМБОЛОВО
4688;Хасково;Haskovo;ГорноВойводино;село;GornoVoyvodino;village;Хасково;Haskovo;16729;25.549715;41.777547;ГОРНОВОЙВОДИНОХАСКОВО
4689;Маджарово;Madjarovo;Голямадолина;село;Golyamadolina;village;Хасково;Haskovo;15698;25.863291;41.69576;ГОЛЯМАДОЛИНАМАДЖАРОВО
4690;Хасково;Haskovo;Момино;село;Momino;village;Хасково;Haskovo;48934;25.728582;41.851124;МОМИНОХАСКОВО
4691;Стамболово;Stambolovo;Балкан;село;Balkan;village;Хасково;Haskovo;2436;25.572557;41.766836;БАЛКАНСТАМБОЛОВО
4694;Маджарово;Madjarovo;Габерово;село;Gaberovo;village;Хасково;Haskovo;14060;25.900868;41.625402;ГАБЕРОВОМАДЖАРОВО
4701;Болярово;Bolyarovo;Попово;село;Popovo;village;Ямбол;Yambol;57652;26.733988;42.207445;ПОПОВОБОЛЯРОВО
4702;Стралджа;Straldja;Леярово;село;Leyarovo;village;Ямбол;Yambol;43615;26.763226;42.300759;ЛЕЯРОВОСТРАЛДЖА
4707;Болярово;Bolyarovo;Крайново;село;Kraynovo;village;Ямбол;Yambol;39356;26.86029;42.005804;КРАЙНОВОБОЛЯРОВО
4710;Болярово;Bolyarovo;Денница;село;Dennitsa;village;Ямбол;Yambol;20657;26.865791;42.26376;ДЕННИЦАБОЛЯРОВО
4712;Средец;Sredetz;Кубадин;село;Kubadin;village;Бургас;Burgas;40419;26.947512;42.305981;КУБАДИНСРЕДЕЦ
4715;Болярово;Bolyarovo;Оман;село;Oman;village;Ямбол;Yambol;53504;26.923662;42.267836;ОМАНБОЛЯРОВО
4718;Болярово;Bolyarovo;МалкоШарково;село;MalkoSharkovo;village;Ямбол;Yambol;46704;26.838075;42.101577;МАЛКОШАРКОВОБОЛЯРОВО
4723;Елхово;Elhovo;Борисово;село;Borisovo;village;Ямбол;Yambol;5520;26.729619;42.292139;БОРИСОВОЕЛХОВО
4724;Елхово;Elhovo;Маломирово;село;Malomirovo;village;Ямбол;Yambol;46797;26.641834;42.142705;МАЛОМИРОВОЕЛХОВО
