OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
1;Костенец;Kostenetz;Моминпроход;град;Mominprohod;town;София;Sofia;50245;23.870713;42.327767;МОМИНПРОХОДКОСТЕНЕЦ
2;Чепеларе;Chepelare;Пампорово;курорт;Pamporovo;resort;Смолян;Smolyan;0;24.697035;41.655005;ПАМПОРОВОЧЕПЕЛАРЕ
3;Балчик;Balchik;Албена;курорт;Albena;resort;Добрич;Dobrich;0;28.071514;43.366348;АЛБЕНАБАЛЧИК
4;Самоков;Samokov;Боровец;курорт;Borovets;resort;София;Sofia;0;23.60555;42.270201;БОРОВЕЦСАМОКОВ
5;Варна;Varna;Златнипясъци;курорт;Zlatnipyasatsi;resort;Варна;Varna;0;28.032087;43.261;ЗЛАТНИПЯСЪЦИВАРНА
6;Несебър;Nesebar;Слънчевбряг;курорт;Slanchevbryag;resort;Бургас;Burgas;0;27.710179;42.695284;СЛЪНЧЕВБРЯГНЕСЕБЪР
7;Варна;Varna;Св.св.КонстантиниЕлена;курорт;St.KonstantiniElena;resort;Варна;Varna;0;28.004289;43.229842;СВ.СВ.КОНСТАНТИНИЕЛЕНАВАРНА
8;Варна;Varna;Чайка;курорт;Chayka;resort;Варна;Varna;0;28.01501;43.25104;ЧАЙКАВАРНА
9;Несебър;Nesebar;Елените;курорт;Elenite;resort;Бургас;Burgas;0;27.810798;42.704368;ЕЛЕНИТЕНЕСЕБЪР
10;Трявна;Tryavna;Донкино;село;Donkino;village;Габрово;Gabrovo;22962;25.500598;42.786327;ДОНКИНОТРЯВНА
11;Трън;Tran;Насалевци;село;Nasalevtsi;village;Перник;Pernik;51130;22.506774;42.822835;НАСАЛЕВЦИТРЪН
13;Трън;Tran;Главановци;село;Glavanovtsi;village;Перник;Pernik;14979;22.518391;42.817933;ГЛАВАНОВЦИТРЪН
23;ГорнаМалина;GornaMalina;ГорнаМалина;село;GornaMalina;village;София;Sofia;16314;23.708875;42.691784;ГОРНАМАЛИНАГОРНАМАЛИНА
24;Самоков;Samokov;Шипочане;село;Shipochane;village;София;Sofia;83243;23.616457;42.348083;ШИПОЧАНЕСАМОКОВ
29;ЕлинПелин;ElinPelin;Богданлия;село;Bogdanliya;village;София;Sofia;4604;23.689049;42.61505;БОГДАНЛИЯЕЛИНПЕЛИН
30;ЕлинПелин;ElinPelin;Караполци;село;Karapoltsi;village;София;Sofia;36422;23.701183;42.618637;КАРАПОЛЦИЕЛИНПЕЛИН
36;ЕлинПелин;ElinPelin;Огняново;село;Ognyanovo;village;София;Sofia;53343;23.733007;42.620594;ОГНЯНОВОЕЛИНПЕЛИН
37;Костенец;Kostenetz;Подгорие;село;Podgorie;village;София;Sofia;56993;23.769464;42.374768;ПОДГОРИЕКОСТЕНЕЦ
38;Ихтиман;Ihtiman;Черньово;село;Chernyovo;village;София;Sofia;81253;23.763343;42.414139;ЧЕРНЬОВОИХТИМАН
41;ГорнаМалина;GornaMalina;Гайтанево;село;Gaytanevo;village;София;Sofia;14338;23.753424;42.646111;ГАЙТАНЕВОГОРНАМАЛИНА
45;Сливница;Slivnitza;Братушково;село;Bratushkovo;village;София;Sofia;6175;22.976671;42.829414;БРАТУШКОВОСЛИВНИЦА
47;Годеч;Godech;Букоровци;село;Bukorovtsi;village;София;Sofia;7020;22.969827;42.992027;БУКОРОВЦИГОДЕЧ
48;Годеч;Godech;Каленовци;село;Kalenovtsi;village;София;Sofia;35345;22.960699;42.988405;КАЛЕНОВЦИГОДЕЧ
49;Драгоман;Dragoman;Беренде;село;Berende;village;София;Sofia;3890;22.932987;42.990668;БЕРЕНДЕДРАГОМАН
52;Драгоман;Dragoman;Драгоман;град;Dragoman;town;София;Sofia;23409;22.929661;42.921714;ДРАГОМАНДРАГОМАН
54;Сливница;Slivnitza;Бахалин;село;Bahalin;village;София;Sofia;2926;22.914133;42.885031;БАХАЛИНСЛИВНИЦА
56;Сливница;Slivnitza;Бърложница;село;Barlozhnitsa;village;София;Sofia;7541;22.940278;42.850084;БЪРЛОЖНИЦАСЛИВНИЦА
57;Сливница;Slivnitza;Драготинци;село;Dragotintsi;village;София;Sofia;23474;22.897908;42.858315;ДРАГОТИНЦИСЛИВНИЦА
58;Сливница;Slivnitza;Радуловци;село;Radulovtsi;village;София;Sofia;61621;22.933236;42.829343;РАДУЛОВЦИСЛИВНИЦА
59;Сливница;Slivnitza;Ракита;село;Rakita;village;София;Sofia;61964;22.932077;42.788346;РАКИТАСЛИВНИЦА
60;Брезник;Breznik;ГорниРоманци;село;GorniRomantsi;village;Перник;Pernik;16612;22.888962;42.782619;ГОРНИРОМАНЦИБРЕЗНИК
61;Брезник;Breznik;Красава;село;Krasava;village;Перник;Pernik;39517;22.8715;42.796003;КРАСАВАБРЕЗНИК
62;Чупрене;Chuprene;Бостаните;село;Bostanite;village;Видин;Vidin;5788;22.684241;43.567004;БОСТАНИТЕЧУПРЕНЕ
63;Вършец;Varshetz;Клисурскиманастир;манастир;Klisurskimanastir;monastery;Монтана;Montana;37318;23.20558;43.183443;КЛИСУРСКИМАНАСТИРВЪРШЕЦ
64;Ябланица;Yablanitza;Мириовец;село;Miriovets;village;Ловеч;Lovech;48310;24.122635;42.999612;МИРИОВЕЦЯБЛАНИЦА
65;Троян;Troyan;Лакарево;село;Lakarevo;village;Ловеч;Lovech;43089;24.870216;42.933131;ЛАКАРЕВОТРОЯН
66;Тетевен;Teteven;Кръкожабене;село;Krakozhabene;village;Ловеч;Lovech;40289;24.126311;42.944778;КРЪКОЖАБЕНЕТЕТЕВЕН
67;Тетевен;Teteven;Равна;село;Ravna;village;Ловеч;Lovech;61087;24.122806;42.946534;РАВНАТЕТЕВЕН
68;Кърджали;Kardjali;Снежинка;село;Snezhinka;village;Кърджали;Kardjali;67742;25.282101;41.668273;СНЕЖИНКАКЪРДЖАЛИ
69;Момчилград;Momchilgrad;Прогрес;село;Progres;village;Кърджали;Kardjali;59361;25.408479;41.495149;ПРОГРЕСМОМЧИЛГРАД
70;Ардино;Ardino;Червенаскала;село;Chervenaskala;village;Кърджали;Kardjali;81921;25.182515;41.615732;ЧЕРВЕНАСКАЛААРДИНО
71;Ардино;Ardino;Чубрика;село;Chubrika;village;Кърджали;Kardjali;81596;25.201066;41.585068;ЧУБРИКААРДИНО
72;Ардино;Ardino;Искра;село;Iskra;village;Кърджали;Kardjali;32946;25.163394;41.62872;ИСКРААРДИНО
73;Ардино;Ardino;Левци;село;Levtsi;village;Кърджали;Kardjali;44896;25.19032;41.641298;ЛЕВЦИАРДИНО
74;Ардино;Ardino;Дедино;село;Dedino;village;Кърджали;Kardjali;24880;25.184881;41.657128;ДЕДИНОАРДИНО
75;Ардино;Ardino;Търна;село;Tarna;village;Кърджали;Kardjali;73897;25.17582;41.665495;ТЪРНААРДИНО
77;Белица;Belitza;Черешово;село;Chereshovo;village;Благоевград;Blagoevgrad;80649;23.708939;41.94968;ЧЕРЕШОВОБЕЛИЦА
80;Белица;Belitza;Дагоново;село;Dagonovo;village;Благоевград;Blagoevgrad;20064;23.593517;41.954473;ДАГОНОВОБЕЛИЦА
82;Белица;Belitza;Лютово;село;Lyutovo;village;Благоевград;Blagoevgrad;44762;23.631793;41.945667;ЛЮТОВОБЕЛИЦА
83;Разлог;Razlog;ГорноДраглище;село;GornoDraglishte;village;Благоевград;Blagoevgrad;16754;23.509167;41.94659;ГОРНОДРАГЛИЩЕРАЗЛОГ
84;Разлог;Razlog;ДолноДраглище;село;DolnoDraglishte;village;Благоевград;Blagoevgrad;22602;23.514158;41.934922;ДОЛНОДРАГЛИЩЕРАЗЛОГ
93;Банско;Bansko;Филипово;село;Filipovo;village;Благоевград;Blagoevgrad;76090;23.686914;41.764453;ФИЛИПОВОБАНСКО
94;Банско;Bansko;Места;село;Mesta;village;Благоевград;Blagoevgrad;47857;23.6725;41.760934;МЕСТАБАНСКО
99;Велинград;Velingrad;ГорнаДъбева;село;GornaDabeva;village;Пазарджик;Pazardjik;18527;23.820139;41.997948;ГОРНАДЪБЕВАВЕЛИНГРАД
100;Велинград;Velingrad;Биркова;село;Birkova;village;Пазарджик;Pazardjik;7836;23.814897;41.984063;БИРКОВАВЕЛИНГРАД
101;Велинград;Velingrad;Цветино;село;Tsvetino;village;Пазарджик;Pazardjik;78272;23.839959;41.992324;ЦВЕТИНОВЕЛИНГРАД
102;Велинград;Velingrad;Чолакова;село;Cholakova;village;Пазарджик;Pazardjik;81863;23.793301;41.979701;ЧОЛАКОВАВЕЛИНГРАД
103;Велинград;Velingrad;ГорнаБиркова;село;GornaBirkova;village;Пазарджик;Pazardjik;18513;23.805525;41.958879;ГОРНАБИРКОВАВЕЛИНГРАД
114;ГоцеДелчев;GotzeDelchev;Борово;село;Borovo;village;Благоевград;Blagoevgrad;5606;23.737119;41.593182;БОРОВОГОЦЕДЕЛЧЕВ
117;ГоцеДелчев;GotzeDelchev;Драгостин;село;Dragostin;village;Благоевград;Blagoevgrad;23460;23.697994;41.574252;ДРАГОСТИНГОЦЕДЕЛЧЕВ
140;Хаджидимово;Hadjidimovo;Садово;село;Sadovo;village;Благоевград;Blagoevgrad;65108;23.82265;41.504245;САДОВОХАДЖИДИМОВО
142;Хаджидимово;Hadjidimovo;НовоЛески;село;NovoLeski;village;Благоевград;Blagoevgrad;52101;23.78204;41.533965;НОВОЛЕСКИХАДЖИДИМОВО
143;Гърмен;Garmen;Хвостяне;село;Hvostyane;village;Благоевград;Blagoevgrad;77222;23.846282;41.546687;ХВОСТЯНЕГЪРМЕН
150;Гърмен;Garmen;Скребатно;село;Skrebatno;village;Благоевград;Blagoevgrad;66874;23.797388;41.659148;СКРЕБАТНОГЪРМЕН
151;Гърмен;Garmen;ГорноДряново;село;GornoDryanovo;village;Благоевград;Blagoevgrad;16763;23.828287;41.651533;ГОРНОДРЯНОВОГЪРМЕН
156;Сатовча;Satovcha;Фъргово;село;Fargovo;village;Благоевград;Blagoevgrad;76203;23.99968;41.57715;ФЪРГОВОСАТОВЧА
157;Сатовча;Satovcha;Крибул;село;Kribul;village;Благоевград;Blagoevgrad;39726;23.947368;41.572879;КРИБУЛСАТОВЧА
158;Гърмен;Garmen;ДолноДряново;село;DolnoDryanovo;village;Благоевград;Blagoevgrad;22616;23.897666;41.587079;ДОЛНОДРЯНОВОГЪРМЕН
159;Гърмен;Garmen;Крушево;село;Krushevo;village;Благоевград;Blagoevgrad;40138;23.876635;41.600305;КРУШЕВОГЪРМЕН
160;Гърмен;Garmen;Ореше;село;Oreshe;village;Благоевград;Blagoevgrad;53727;23.881416;41.622232;ОРЕШЕГЪРМЕН
161;Сандански;Sandanski;Храсна;село;Hrasna;village;Благоевград;Blagoevgrad;77414;23.534949;41.489214;ХРАСНАСАНДАНСКИ
166;Петрич;Petrich;Яворница;село;Yavornitsa;village;Благоевград;Blagoevgrad;87134;23.05092;41.368128;ЯВОРНИЦАПЕТРИЧ
167;Петрич;Petrich;Струмешница;село;Strumeshtnitsa;village;Благоевград;Blagoevgrad;69941;23.04543;41.395226;СТРУМЕШНИЦАПЕТРИЧ
168;Петрич;Petrich;Вишлене;село;Vishlene;village;Благоевград;Blagoevgrad;11358;23.062402;41.435869;ВИШЛЕНЕПЕТРИЧ
174;Петрич;Petrich;Мендово;село;Mendovo;village;Благоевград;Blagoevgrad;47799;23.117549;41.420758;МЕНДОВОПЕТРИЧ
178;Петрич;Petrich;Първомай;село;Parvomay;village;Благоевград;Blagoevgrad;59077;23.138343;41.400691;ПЪРВОМАЙПЕТРИЧ
179;Петрич;Petrich;Кавракирово;село;Kavrakirovo;village;Благоевград;Blagoevgrad;35081;23.166795;41.435403;КАВРАКИРОВОПЕТРИЧ
180;Петрич;Petrich;Яково;село;Yakovo;village;Благоевград;Blagoevgrad;87312;23.14042;41.515768;ЯКОВОПЕТРИЧ
181;Петрич;Petrich;Дреново;село;Drenovo;village;Благоевград;Blagoevgrad;23697;23.157315;41.510638;ДРЕНОВОПЕТРИЧ
182;Сандански;Sandanski;Кръстилци;село;Krastiltsi;village;Благоевград;Blagoevgrad;40378;23.202969;41.549829;КРЪСТИЛЦИСАНДАНСКИ
183;Струмяни;Strumyani;Палат;село;Palat;village;Благоевград;Blagoevgrad;55227;23.19032;41.59162;ПАЛАТСТРУМЯНИ
184;Струмяни;Strumyani;Каменица;село;Kamenitsa;village;Благоевград;Blagoevgrad;35818;23.160245;41.650481;КАМЕНИЦАСТРУМЯНИ
186;Струмяни;Strumyani;Драката;село;Drakata;village;Благоевград;Blagoevgrad;23532;23.206779;41.608192;ДРАКАТАСТРУМЯНИ
188;Петрич;Petrich;Кърналово;село;Karnalovo;village;Благоевград;Blagoevgrad;40912;23.223584;41.463398;КЪРНАЛОВОПЕТРИЧ
190;Сандански;Sandanski;Лебница;село;Lebnitsa;village;Благоевград;Blagoevgrad;43181;23.240065;41.520394;ЛЕБНИЦАСАНДАНСКИ
191;Сандански;Sandanski;Струма;село;Struma;village;Благоевград;Blagoevgrad;69938;23.238259;41.537217;СТРУМАСАНДАНСКИ
194;Петрич;Petrich;Ръждак;село;Razhdak;village;Благоевград;Blagoevgrad;63542;23.240725;41.40074;РЪЖДАКПЕТРИЧ
199;Сандански;Sandanski;Джигурово;село;Dzhigurovo;village;Благоевград;Blagoevgrad;20780;23.309779;41.558203;ДЖИГУРОВОСАНДАНСКИ
200;Сандански;Sandanski;Дебрене;село;Debrene;village;Благоевград;Blagoevgrad;20345;23.314092;41.575877;ДЕБРЕНЕСАНДАНСКИ
204;Сандански;Sandanski;Склаве;село;Sklave;village;Благоевград;Blagoevgrad;66785;23.31721;41.520094;СКЛАВЕСАНДАНСКИ
205;Сандански;Sandanski;Лешница;село;Leshnitsa;village;Благоевград;Blagoevgrad;43565;23.287785;41.534313;ЛЕШНИЦАСАНДАНСКИ
206;Сандански;Sandanski;Дамяница;село;Damyanitsa;village;Благоевград;Blagoevgrad;20105;23.271904;41.504848;ДАМЯНИЦАСАНДАНСКИ
207;Сандански;Sandanski;НовоДелчево;село;NovoDelchevo;village;Благоевград;Blagoevgrad;52074;23.283909;41.505984;НОВОДЕЛЧЕВОСАНДАНСКИ
209;Сандански;Sandanski;Хотово;село;Hotovo;village;Благоевград;Blagoevgrad;77361;23.334001;41.499708;ХОТОВОСАНДАНСКИ
210;Сандански;Sandanski;Лозеница;село;Lozenitsa;village;Благоевград;Blagoevgrad;44121;23.370596;41.504677;ЛОЗЕНИЦАСАНДАНСКИ
214;Сандански;Sandanski;Ковачево;село;Kovachevo;village;Благоевград;Blagoevgrad;37486;23.482572;41.499036;КОВАЧЕВОСАНДАНСКИ
215;Сандански;Sandanski;Калиманци;село;Kalimantsi;village;Благоевград;Blagoevgrad;35362;23.475053;41.459691;КАЛИМАНЦИСАНДАНСКИ
217;Сандански;Sandanski;Пиперица;село;Piperitsa;village;Благоевград;Blagoevgrad;56352;23.436089;41.410227;ПИПЕРИЦАСАНДАНСКИ
218;Сандански;Sandanski;Катунци;село;Katuntsi;village;Благоевград;Blagoevgrad;36693;23.427387;41.442292;КАТУНЦИСАНДАНСКИ
220;Сандански;Sandanski;НовоХоджово;село;NovoHodzhovo;village;Благоевград;Blagoevgrad;52307;23.402852;41.40751;НОВОХОДЖОВОСАНДАНСКИ
222;Петрич;Petrich;Чучулигово;село;Chuchuligovo;village;Благоевград;Blagoevgrad;81832;23.360003;41.403196;ЧУЧУЛИГОВОПЕТРИЧ
223;Петрич;Petrich;Тополница;село;Topolnitsa;village;Благоевград;Blagoevgrad;72744;23.323066;41.404962;ТОПОЛНИЦАПЕТРИЧ
224;Петрич;Petrich;Маринополе;село;Marinopole;village;Благоевград;Blagoevgrad;47247;23.350302;41.413031;МАРИНОПОЛЕПЕТРИЧ
226;Петрич;Petrich;Дрангово;село;Drangovo;village;Благоевград;Blagoevgrad;23563;23.288501;41.41673;ДРАНГОВОПЕТРИЧ
228;Сандански;Sandanski;Левуново;село;Levunovo;village;Благоевград;Blagoevgrad;43243;23.30685;41.485632;ЛЕВУНОВОСАНДАНСКИ
229;Петрич;Petrich;НовоКономлади;село;NovoKonomlatsi;village;Благоевград;Blagoevgrad;52091;23.330544;41.455043;НОВОКОНОМЛАДИПЕТРИЧ
230;Петрич;Petrich;Капатово;село;Kapatovo;village;Благоевград;Blagoevgrad;36083;23.35954;41.463955;КАПАТОВОПЕТРИЧ
231;Петрич;Petrich;Кромидово;село;Kromidovo;village;Благоевград;Blagoevgrad;39935;23.3644;41.458018;КРОМИДОВОПЕТРИЧ
234;Петрич;Petrich;ДолноСпанчево;село;DolnoSpanchevo;village;Благоевград;Blagoevgrad;22842;23.379097;41.422297;ДОЛНОСПАНЧЕВОПЕТРИЧ
235;Сандански;Sandanski;Любовище;село;Lyubovishte;village;Благоевград;Blagoevgrad;44625;23.442873;41.526382;ЛЮБОВИЩЕСАНДАНСКИ
238;Струмяни;Strumyani;Седелец;село;Sedelets;village;Благоевград;Blagoevgrad;65930;23.096145;41.588756;СЕДЕЛЕЦСТРУМЯНИ
239;Петрич;Petrich;Долене;село;Dolene;village;Благоевград;Blagoevgrad;21885;23.030339;41.445443;ДОЛЕНЕПЕТРИЧ
242;Петрич;Petrich;Крънджилица;село;Krandzhilitsa;village;Благоевград;Blagoevgrad;40302;23.057341;41.540268;КРЪНДЖИЛИЦАПЕТРИЧ
244;Струмяни;Strumyani;Велющец;село;Velyushtets;village;Благоевград;Blagoevgrad;10608;23.141905;41.588281;ВЕЛЮЩЕЦСТРУМЯНИ
245;Сандански;Sandanski;Вълково;село;Valkovo;village;Благоевград;Blagoevgrad;12471;23.222081;41.578026;ВЪЛКОВОСАНДАНСКИ
246;Струмяни;Strumyani;Колибите;село;Kolibite;village;Благоевград;Blagoevgrad;38056;23.027798;41.582639;КОЛИБИТЕСТРУМЯНИ
248;Петрич;Petrich;Дреновица;село;Drenovitsa;village;Благоевград;Blagoevgrad;23683;23.069249;41.412198;ДРЕНОВИЦАПЕТРИЧ
249;Петрич;Petrich;Правобърдо;село;Pravobardo;village;Благоевград;Blagoevgrad;58061;23.083739;41.437748;ПРАВОБЪРДОПЕТРИЧ
250;Сандански;Sandanski;Ладарево;село;Ladarevo;village;Благоевград;Blagoevgrad;43030;23.345184;41.551815;ЛАДАРЕВОСАНДАНСКИ
251;Сандански;Sandanski;Бождово;село;Bozhdovo;village;Благоевград;Blagoevgrad;4933;23.360028;41.601164;БОЖДОВОСАНДАНСКИ
252;Сандански;Sandanski;МалкиЦалим;село;MalkiTsalim;village;Благоевград;Blagoevgrad;46526;23.343243;41.603742;МАЛКИЦАЛИМСАНДАНСКИ
254;Сандански;Sandanski;Вихрен;село;Vihren;village;Благоевград;Blagoevgrad;11315;23.331076;41.615059;ВИХРЕНСАНДАНСКИ
255;Сандански;Sandanski;Рожен;село;Rozhen;village;Благоевград;Blagoevgrad;62918;23.433711;41.534238;РОЖЕНСАНДАНСКИ
257;Сандански;Sandanski;Лехово;село;Lehovo;village;Благоевград;Blagoevgrad;43503;23.487149;41.410614;ЛЕХОВОСАНДАНСКИ
258;Сандански;Sandanski;Виногради;село;Vinogradi;village;Благоевград;Blagoevgrad;11168;23.383723;41.498079;ВИНОГРАДИСАНДАНСКИ
260;Сандански;Sandanski;Златолист;село;Zlatolist;village;Благоевград;Blagoevgrad;31139;23.420673;41.495267;ЗЛАТОЛИСТСАНДАНСКИ
262;Струмяни;Strumyani;ГорнаРибница;село;GornaRibnitsa;village;Благоевград;Blagoevgrad;16362;23.03626;41.64393;ГОРНАРИБНИЦАСТРУМЯНИ
263;Сандански;Sandanski;Поленица;село;Polenitsa;village;Благоевград;Blagoevgrad;57176;23.295617;41.566031;ПОЛЕНИЦАСАНДАНСКИ
264;Петрич;Petrich;Богородица;село;Bogoroditsa;village;Благоевград;Blagoevgrad;66322;23.190297;41.510705;БОГОРОДИЦАПЕТРИЧ
266;Петрич;Petrich;Скрът;село;Skrat;village;Благоевград;Blagoevgrad;66901;22.995382;41.36516;СКРЪТПЕТРИЧ
271;Симитли;Simitli;Симитли;град;Simitli;town;Благоевград;Blagoevgrad;66460;23.111668;41.891431;СИМИТЛИСИМИТЛИ
272;Симитли;Simitli;Черниче;село;Cherniche;village;Благоевград;Blagoevgrad;81013;23.12676;41.860399;ЧЕРНИЧЕСИМИТЛИ
274;Струмяни;Strumyani;ГорнаКрушица;село;GornaKrushitsa;village;Благоевград;Blagoevgrad;16273;23.16535;41.668396;ГОРНАКРУШИЦАСТРУМЯНИ
275;Кресна;Kresna;Сливница;село;Slivnitsa;village;Благоевград;Blagoevgrad;67369;23.165143;41.692301;СЛИВНИЦАКРЕСНА
278;Симитли;Simitli;Мечкул;село;Mechkul;village;Благоевград;Blagoevgrad;48012;23.197447;41.825063;МЕЧКУЛСИМИТЛИ
285;Кресна;Kresna;Ощава;село;Oshtava;village;Благоевград;Blagoevgrad;54537;23.22084;41.787848;ОЩАВАКРЕСНА
289;Благоевград;Blagoevgrad;Мощанец;село;Moshtanets;village;Благоевград;Blagoevgrad;49179;23.071958;41.96822;МОЩАНЕЦБЛАГОЕВГРАД
290;Симитли;Simitli;ГорноОсеново;село;GornoOsenovo;village;Благоевград;Blagoevgrad;16870;23.265636;41.991376;ГОРНООСЕНОВОСИМИТЛИ
302;Благоевград;Blagoevgrad;Селище;село;Selishte;village;Благоевград;Blagoevgrad;66055;22.999844;41.997668;СЕЛИЩЕБЛАГОЕВГРАД
303;Струмяни;Strumyani;Струмяни;село;Strumyani;village;Благоевград;Blagoevgrad;69969;23.20079;41.637269;СТРУМЯНИСТРУМЯНИ
305;Своге;Svoge;Свидня;село;Svidnya;village;София;Sofia;65663;23.29522;42.968991;СВИДНЯСВОГЕ
306;Своге;Svoge;Желен;село;Zhelen;village;София;Sofia;29163;23.375051;42.989556;ЖЕЛЕНСВОГЕ
307;Своге;Svoge;Лесковдол;село;Leskovdol;village;София;Sofia;43390;23.406956;42.975822;ЛЕСКОВДОЛСВОГЕ
308;Своге;Svoge;Томпсън;село;Tompsan;village;София;Sofia;72655;23.384796;42.924552;ТОМПСЪНСВОГЕ
309;Своге;Svoge;ВладоТричков;село;VladoTrichkov;village;София;Sofia;11510;23.355958;42.863301;ВЛАДОТРИЧКОВСВОГЕ
310;Столична;Stolichna;Кътина;село;Katina;village;София-град;Sofia-city;41010;23.322032;42.842813;КЪТИНАСТОЛИЧНА
313;Столична;Stolichna;Доброславци;село;Dobroslavtsi;village;София-град;Sofia-city;21662;23.284116;42.822746;ДОБРОСЛАВЦИСТОЛИЧНА
319;Столична;Stolichna;Световрачене;село;Svetovrachene;village;София-град;Sofia-city;65601;23.383789;42.781889;СВЕТОВРАЧЕНЕСТОЛИЧНА
320;Столична;Stolichna;Подгумер;село;Podgumer;village;София-град;Sofia-city;57011;23.404108;42.804959;ПОДГУМЕРСТОЛИЧНА
322;Столична;Stolichna;Локорско;село;Lokorsko;village;София-град;Sofia-city;44224;23.445593;42.792259;ЛОКОРСКОСТОЛИЧНА
323;Столична;Stolichna;Негован;село;Negovan;village;София-град;Sofia-city;51250;23.404125;42.769455;НЕГОВАНСТОЛИЧНА
324;Столична;Stolichna;Чепинци;село;Chepintsi;village;София-град;Sofia-city;80409;23.425626;42.757827;ЧЕПИНЦИСТОЛИЧНА
327;Столична;Stolichna;Бусманци;село;Busmantsi;village;София-град;Sofia-city;7106;23.432762;42.675673;БУСМАНЦИСТОЛИЧНА
329;Своге;Svoge;Бакьово;село;Bakyovo;village;София;Sofia;2289;23.466103;42.874694;БАКЬОВОСВОГЕ
330;Столична;Stolichna;Кубратово;село;Kubratovo;village;София-град;Sofia-city;40436;23.36142;42.771208;КУБРАТОВОСТОЛИЧНА
331;Костинброд;Kostinbrod;Бучинпроход;село;Buchinprohod;village;София;Sofia;7171;23.141122;42.971572;БУЧИНПРОХОДКОСТИНБРОД
336;Костинброд;Kostinbrod;Чибаовци;село;Chibaovtsi;village;София;Sofia;81356;23.240057;42.9348;ЧИБАОВЦИКОСТИНБРОД
340;Белица;Belitza;Палатик;село;Palatik;village;Благоевград;Blagoevgrad;59330;23.668172;41.91037;ПАЛАТИКБЕЛИЦА
342;Земен;Zemen;Мурено;село;Mureno;village;Перник;Pernik;49357;22.719831;42.626822;МУРЕНОЗЕМЕН
345;Земен;Zemen;Смировдол;село;Smirovdol;village;Перник;Pernik;67595;22.728086;42.561118;СМИРОВДОЛЗЕМЕН
347;Кюстендил;Kyustendil;Гърбино;село;Garbino;village;Кюстендил;Kyustendil;18318;22.712001;42.41147;ГЪРБИНОКЮСТЕНДИЛ
348;Кюстендил;Kyustendil;Шипочано;село;Shipochano;village;Кюстендил;Kyustendil;83257;22.729036;42.36764;ШИПОЧАНОКЮСТЕНДИЛ
349;Кюстендил;Kyustendil;Шишковци;село;Shishkovtsi;village;Кюстендил;Kyustendil;83354;22.718435;42.348874;ШИШКОВЦИКЮСТЕНДИЛ
351;Кюстендил;Kyustendil;Стенско;село;Stensko;village;Кюстендил;Kyustendil;69167;22.6805;42.371694;СТЕНСКОКЮСТЕНДИЛ
356;Ковачевци;Kovachevtzi;Ракиловци;село;Rakilovtsi;village;Перник;Pernik;61947;22.807962;42.545815;РАКИЛОВЦИКОВАЧЕВЦИ
358;Ковачевци;Kovachevtzi;Ковачевци;село;Kovachevtsi;village;Перник;Pernik;37513;22.818336;42.554471;КОВАЧЕВЦИКОВАЧЕВЦИ
359;Радомир;Radomir;Углярци;село;Uglyartsi;village;Перник;Pernik;75023;22.891827;42.387691;УГЛЯРЦИРАДОМИР
360;Радомир;Radomir;Жедна;село;Zhedna;village;Перник;Pernik;29060;22.960313;42.423916;ЖЕДНАРАДОМИР
362;Земен;Zemen;Земен;град;Zemen;town;Перник;Pernik;30778;22.747243;42.477821;ЗЕМЕНЗЕМЕН
364;Трекляно;Treklyano;Бъзовица;село;Bazovitsa;village;Кюстендил;Kyustendil;7226;22.543119;42.597756;БЪЗОВИЦАТРЕКЛЯНО
367;Самоков;Samokov;Марица;село;Maritsa;village;София;Sofia;47264;23.704077;42.306348;МАРИЦАСАМОКОВ
377;Костенец;Kostenetz;Голак;село;Golak;village;София;Sofia;15374;23.967537;42.297226;ГОЛАККОСТЕНЕЦ
378;Костенец;Kostenetz;Костенец;село;Kostenets;village;София;Sofia;38916;23.824487;42.267878;КОСТЕНЕЦКОСТЕНЕЦ
382;Белово;Belovo;ГолямоБелово;село;GolyamoBelovo;village;Пазарджик;Pazardjik;15802;23.988818;42.193345;ГОЛЯМОБЕЛОВОБЕЛОВО
385;Велинград;Velingrad;Алендарова;село;Alendarova;village;Пазарджик;Pazardjik;83421;23.88186;42.020367;АЛЕНДАРОВАВЕЛИНГРАД
386;Велинград;Velingrad;ДолнаДъбева;село;DolnaDabeva;village;Пазарджик;Pazardjik;24325;23.88141;42.02676;ДОЛНАДЪБЕВАВЕЛИНГРАД
387;Велинград;Velingrad;Всемирци;село;Vsemirtsi;village;Пазарджик;Pazardjik;12334;23.865742;42.031112;ВСЕМИРЦИВЕЛИНГРАД
389;Велинград;Velingrad;Кандови;село;Kandovi;village;Пазарджик;Pazardjik;36035;23.829649;42.023285;КАНДОВИВЕЛИНГРАД
391;Бобовдол;Bobovdol;Долистово;село;Dolistovo;village;Кюстендил;Kyustendil;21974;23.010629;42.303012;ДОЛИСТОВОБОБОВДОЛ
393;Бобовдол;Bobovdol;Големосело;село;Golemoselo;village;Кюстендил;Kyustendil;15535;23.04203;42.293474;ГОЛЕМОСЕЛОБОБОВДОЛ
