IME;UTMname;UTMfullNam;Index_1km;UTMNameFul;Status;X_1;Y_1;X_2;Y_2;X_3;Y_3;X_4;Y_4
89;FL;FL89;33;FL8933;незаети площадки;23.20371172;41.47650456;23.20340676;41.46750374;23.19144016;41.46773245;23.19174346;41.47673334
89;FL;FL89;70;FL8970;незаети площадки;23.25064906;41.44857537;23.25033792;41.43957479;23.23837683;41.43980825;23.23868632;41.4488089
89;FL;FL89;75;FL8975;незаети площадки;23.25220691;41.49357803;23.25189505;41.48457753;23.23992571;41.48481135;23.2402359;41.49381193
89;FL;FL89;83;FL8983;незаети площадки;23.2635509;41.47534201;23.26323767;41.46634156;23.25127177;41.46657648;23.25158334;41.47557701
98;FL;FL98;6;FL9806;незаети площадки;23.2852729;41.41186578;23.28495738;41.40286536;23.27300331;41.40310225;23.27331719;41.41210275
98;FL;FL98;9;FL9809;незаети площадки;23.28622033;41.43886695;23.28590438;41.42986658;23.27394537;41.43010369;23.27425967;41.43910414
98;FL;FL98;18;FL9818;незаети площадки;23.29786325;41.42962822;23.29754579;41.42062791;23.28558857;41.42086619;23.28590438;41.42986658
98;FL;FL98;95;FL9895;незаети площадки;23.39253748;41.40067753;23.39220728;41.39167778;23.38025617;41.39192576;23.38058472;41.40092558
99;FL;FL99;11;FL9911;незаети площадки;23.29881649;41.45662907;23.2984986;41.4476288;23.28653643;41.44786731;23.28685267;41.45686765
99;FL;FL99;31;FL9931;незаети площадки;23.3227437;41.45614818;23.3224225;41.44714807;23.31046062;41.44738906;23.31078016;41.45638925
99;FL;FL99;47;FL9947;незаети площадки;23.33664722;41.50990577;23.3363235;41.50090582;23.32435185;41.50114851;23.32467392;41.51014853
99;FL;FL99;73;FL9973;незаети площадки;23.37125239;41.47317105;23.3709243;41.46417128;23.3589597;41.4644174;23.35928614;41.47341725
99;FL;FL99;94;FL9994;незаети площадки;23.39551598;41.48167454;23.39518443;41.47267494;23.38321849;41.47292362;23.38354838;41.4819233
17;FM;FM17;89;FM1789;незаети площадки;22.44283696;42.2631325;22.44263169;42.2541291;22.43051241;42.25428092;22.43071596;42.26328437
17;FM;FM17;98;FM1798;незаети площадки;22.45475087;42.25397599;22.45454396;42.24497262;22.4424265;42.24512568;22.44263169;42.2541291
18;FM;FM18;66;FM1866;незаети площадки;22.42001028;42.326459;22.4198078;42.31745561;22.40767626;42.31760521;22.40787701;42.32660864
18;FM;FM18;71;FM1871;незаети площадки;22.43112335;42.28129122;22.43091961;42.2722878;22.41879679;42.27243844;22.41899881;42.28144191
18;FM;FM18;85;FM1885;незаети площадки;22.4440706;42.31715258;22.44386476;42.30814927;22.43173513;42.30830138;22.43193925;42.31730474
18;FM;FM18;94;FM1894;незаети площадки;22.45599429;42.30799587;22.45578682;42.2989926;22.44365901;42.29914594;22.44386476;42.30814927
26;FM;FM26;66;FM2666;незаети площадки;22.53696154;42.14483118;22.53674378;42.13582798;22.5246476;42.13598939;22.52486365;42.14499264
26;FM;FM26;68;FM2668;незаети площадки;22.53739736;42.16283754;22.5371794;42.15383437;22.52507979;42.15399587;22.52529604;42.16299909
26;FM;FM26;79;FM2679;незаети площадки;22.54971836;42.17167781;22.54949858;42.1626747;22.53739736;42.16283754;22.53761542;42.17184069
26;FM;FM26;87;FM2687;незаети площадки;22.56137831;42.15350752;22.56115703;42.14450444;22.54905933;42.14466845;22.54927891;42.15367158
26;FM;FM26;99;FM2699;незаети площадки;22.57392393;42.17134821;22.57370072;42.16234521;22.5615997;42.16251059;22.56182119;42.17151364
27;FM;FM27;50;FM2750;незаети площадки;22.52572883;42.18100549;22.52551239;42.1720023;22.51340925;42.17216263;22.51362398;42.18116588
