form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Calcarius lapponicus | Лапландска овесарка;;;;;;;;;;;;;;;;Canis lupus | Вълк;;;;;;;;;;;;;;;
;;;;;;Calidris alba | Трипръст брегобегач;;;;;;;;;;;;;;;;Canis aureus | Чакал;;;;;;;;;;;;;;;
;;;;;;Calidris alpina | Тъмногръд брегобегач;;;;;;;;;;;;;;;;Vulpes vulpes | Лисица;;;;;;;;;;;;;;;
;;;;;;Calidris canutus | Голям брегобегач;;;;;;;;;;;;;;;;Nyctereutes procenoides | Енотовидно куче;;;;;;;;;;;;;;;
;;;;;;Calidris ferruginea | Кривоклюн брегобегач;;;;;;;;;;;;;;;;Ursus arctos | Кафява мечка;;;;;;;;;;;;;;;
;;;;;;Calidris fuscicollis | Белокръст брегобегач;;;;;;;;;;;;;;;;Martes martes | Златка;;;;;;;;;;;;;;;
;;;;;;Calidris maritima | Морски брегобегач;;;;;;;;;;;;;;;;Martes foina | Бялка;;;;;;;;;;;;;;;
;;;;;;Calidris mauri | Западен брегобегач;;;;;;;;;;;;;;;;Mustela nivalis | Невестулка;;;;;;;;;;;;;;;
;;;;;;Calidris melanotos | Цветногръд брегобегач;;;;;;;;;;;;;;;;Mustela putorius | Черен пор;;;;;;;;;;;;;;;
;;;;;;Calidris minuta | Малък брегобегач;;;;;;;;;;;;;;;;Mustela eversmani | Степен пор;;;;;;;;;;;;;;;
;;;;;;Calidris pusilla | Ципестопръст брегобегач;;;;;;;;;;;;;;;;Vormela peregusna | Пъстър пор;;;;;;;;;;;;;;;
;;;;;;Calidris temminckii | Сив брегобегач;;;;;;;;;;;;;;;;Meles meles | Язовец;;;;;;;;;;;;;;;
;;;;;;Calonectris diomedea | Жълтоклюн буревестник;;;;;;;;;;;;;;;;Lutra lutra | Видра;;;;;;;;;;;;;;;
;;;;;;Caprimulgus europaeus | Козодой;;;;;;;;;;;;;;;;Felis silvestris | Дива котка;;;;;;;;;;;;;;;
;;;;;;Caprimulgus ruficollis;;;;;;;;;;;;;;;;Lynx lynx | Рис;;;;;;;;;;;;;;;
;;;;;;Carduelis cannabina | Обикновено конопарче;;;;;;;;;;;;;;;;Delphinus delphis | Обикновен делфин;;;;;;;;;;;;;;;
;;;;;;Carduelis carduelis | Щиглец;;;;;;;;;;;;;;;;Tursiops truncatus | Афала;;;;;;;;;;;;;;;
;;;;;;Carduelis chloris | Зеленика;;;;;;;;;;;;;;;;Phocoena phocoena | Морска свиня (Муткур);;;;;;;;;;;;;;;
;;;;;;Carduelis flammea | Брезова скатия;;;;;;;;;;;;;;;;Sus scrofa | Дива свиня;;;;;;;;;;;;;;;
;;;;;;Carduelis flavirostris | Жълтоклюно конопарче;;;;;;;;;;;;;;;;Cervus elaphus | Благороден елен;;;;;;;;;;;;;;;
;;;;;;Carduelis hornemanni | Полярна скатия;;;;;;;;;;;;;;;;Dama dama | Елен лопатар;;;;;;;;;;;;;;;
;;;;;;Carduelis spinus | Елшова скатия;;;;;;;;;;;;;;;;Capreolus capreolus | Сърна;;;;;;;;;;;;;;;
;;;;;;Carpodacus erythrinus | Червена чинка;;;;;;;;;;;;;;;;Rupicapra rupicapra | Дива коза;;;;;;;;;;;;;;;
;;;;;;Carpodacus rubicilla;;;;;;;;;;;;;;;;Ovis gmelinii | Муфлон;;;;;;;;;;;;;;;
;;;;;;Carpospiza brachydactyla;;;;;;;;;;;;;;;;Rhinolophus ferrumequinum | Голям подковонос;;;;;;;;;;;;;;;
;;;;;;Cepphus grylle | Обикновен чистик;;;;;;;;;;;;;;;;Rhinolophus hipposideros | Малък подковонос;;;;;;;;;;;;;;;
;;;;;;Cercotrichas galactotes | Трънковче;;;;;;;;;;;;;;;;Rhinolophus blasii | Подковонос на Блази;;;;;;;;;;;;;;;
;;;;;;Certhia brachydactyla | Градинска дърволазка;;;;;;;;;;;;;;;;Rhinolophus euryale | Южен подковонос;;;;;;;;;;;;;;;
;;;;;;Certhia familiaris | Горска дърволазка;;;;;;;;;;;;;;;;Rhinolophus mehelyi | Подковонос на Мехели;;;;;;;;;;;;;;;
;;;;;;Ceryle rudis;;;;;;;;;;;;;;;;Myotis myotis | Голям нощник;;;;;;;;;;;;;;;
;;;;;;Cettia cetti | Свилено шаварче;;;;;;;;;;;;;;;;Myotis blythii | Остроух нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius alexandrinus | Морски дъждосвирец;;;;;;;;;;;;;;;;Myotis bechsteinii | Нощник на Бехщайн;;;;;;;;;;;;;;;
;;;;;;Charadrius asiaticus | Каспийски дъждосвирец;;;;;;;;;;;;;;;;Myotis natteri | Нощник на Натерер;;;;;;;;;;;;;;;
;;;;;;Charadrius dubius | Речен дъждосвирец;;;;;;;;;;;;;;;;Myotis emarginatus | Трицветен нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius hiaticula | Пясъчен дъждосвирец;;;;;;;;;;;;;;;;Myotis mystacinus | Мустакат нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius leschenaultii | Дебелоклюн дъждосвирец;;;;;;;;;;;;;;;;Myotis aurascens | Южен мустакат нощник;;;;;;;;;;;;;;;
;;;;;;Charadrius morinellus | Планински дъждосвирец;;;;;;;;;;;;;;;;Myotis brandtii | Нощник на Брандт;;;;;;;;;;;;;;;
;;;;;;Chersophilus duponti | Кривоклюна чучулига;;;;;;;;;;;;;;;;Myotis daubentonii | Воден нощник;;;;;;;;;;;;;;;
;;;;;;Chettusia gregaria | Степна калугерица;;;;;;;;;;;;;;;;Myotis capaccinii | Дългопръст нощник;;;;;;;;;;;;;;;
;;;;;;Chettusia leucura | Белоопашата калугерица;;;;;;;;;;;;;;;;Myotis dasycneme | Езерен нощник;;;;;;;;;;;;;;;
;;;;;;Chlamydotis undulata;;;;;;;;;;;;;;;;Myotis alcathoe | Алкатоев нощник;;;;;;;;;;;;;;;
;;;;;;Chlidonias hybridus | Белобуза рибарка;;;;;;;;;;;;;;;;Plecotus austriacus | Сив дългоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chlidonias leucopterus | Белокрила рибарка;;;;;;;;;;;;;;;;Plecotus auritus | Кафяв дългоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chlidonias niger | Черна рибарка;;;;;;;;;;;;;;;;Barabastella barabastellus | Широкоух прилеп;;;;;;;;;;;;;;;
;;;;;;Chrysolophus pictus;;;;;;;;;;;;;;;;Nyctalus noctula | Ръждив вечерник;;;;;;;;;;;;;;;
;;;;;;Ciconia ciconia | Бял щъркел;;;;;;;;;;;;;;;;Nyctalus lasiopterus | Голям вечерник;;;;;;;;;;;;;;;
;;;;;;Ciconia nigra | Черен щъркел;;;;;;;;;;;;;;;;Nyctalus leisleri | Малък вечерник;;;;;;;;;;;;;;;
;;;;;;Cinclus cinclus | Воден кос;;;;;;;;;;;;;;;;Pipistrellus pipistrellus | Кафяво прилепче;;;;;;;;;;;;;;;
;;;;;;Circaetus gallicus | Орел змияр;;;;;;;;;;;;;;;;Pipistrellus pygmaeus | Малко кафяво прилепче;;;;;;;;;;;;;;;
;;;;;;Circus aeruginosus | Тръстиков блатар;;;;;;;;;;;;;;;;Pipistrellus nathusii | Прилепче на Натузий;;;;;;;;;;;;;;;
;;;;;;Circus cyaneus | Полски блатар;;;;;;;;;;;;;;;;Pipistrellus kuhlii | Средиземноморско прилепче;;;;;;;;;;;;;;;
;;;;;;Circus macrourus | Степен блатар;;;;;;;;;;;;;;;;Hypsugo savii | Прилепче на Сави;;;;;;;;;;;;;;;
;;;;;;Circus pygargus | Ливаден блатар;;;;;;;;;;;;;;;;Eptisicus serotinus | Полунощен прилеп;;;;;;;;;;;;;;;
;;;;;;Cisticola juncidis | Пъстроопашато шаварче;;;;;;;;;;;;;;;;Eptisicus nilssonii | Северен прилеп;;;;;;;;;;;;;;;
;;;;;;Clamator glandarius | Качулата кукувица;;;;;;;;;;;;;;;;Vesperilio murinus | Двуцветен прилеп;;;;;;;;;;;;;;;
;;;;;;Clangula hyemalis | Ледена потапница;;;;;;;;;;;;;;;;Miniopterus schrebersii | Пещерен дългокрил;;;;;;;;;;;;;;;
;;;;;;Coccothraustes coccothraustes | Черешарка;;;;;;;;;;;;;;;;Tadarida teniotis | Булдогов прилеп;;;;;;;;;;;;;;;
;;;;;;Coccyzus americanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba bollii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba junoniae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba livia | Полудив гълъб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba oenas | Гълъб хралупар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba palumbus | Гривяк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Columba trocaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coracias garrulus | Синявица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus corax | Гарван гробар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus corone | Сива врана;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus frugilegus | Посевна врана;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Corvus monedula | Чавка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Coturnix coturnix | Пъдпъдък;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Crex crex | Ливаден дърдавец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cuculus canorus | Обикновена кукувица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cuculus saturatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cursorius cursor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cyanopica cyana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus bewickii | Тундров лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus cygnus | Поен лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus olor | Ням лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Delichon urbica | Градска лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos leucotos | Белогърб кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos major | Голям пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos medius | Среден пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos minor | Малък пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos syriacus | Сирийски пъстър кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dryocopus martius | Черен кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta alba | Голяма бяла чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta garzetta | Малка бяла чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Egretta gularis | Рифова чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Elanus caeruleus | Пепелява каничка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza aureola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza bruniceps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza buchanani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza caesia | Пепелява овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cia | Сивоглава овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cineracea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza cirlus | Зеленогуша овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza citrinella | Жълта овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza hortulana | Градинска овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza leucocephalos | Белоглава овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza melanocephala | Черноглава овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza pusilla | Малка овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza rustica | Белогуша овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Emberiza schoeniclus | Тръстикова овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Eremophila alpestris | Ушата чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Erithacus rubecula | Червеногръдка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Estrilda astrild;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco biarmicus | Далматински сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco cherrug | Ловен сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco columbarius | Малък сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco eleonorae | Средиземноморски сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco naumanni | Белошипа ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco pelegrinoides | Ръждивоглав сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco peregrinus | Сокол скитник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco rusticolus | Северен сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco subbuteo | Орко;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco tinnunculus | Черношипа ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco vespertinus | Вечерна ветрушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula albicollis | Беловрата мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula hypoleuca | Жалобна мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula parva | Червеногуша мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ficedula semitorquata | Полубеловрата мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Francolinus francolinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fratercula arctica | Тъпоклюна кайра;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla coelebs | Обикновена чинка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla montifringilla | Планинска чинка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fringilla teydea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulica atra | Лиска;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulica cristata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fulmarus glacialis | Фулмар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida cristata | Качулата чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida malabarica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galerida theklae | Текла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago gallinago | Средна бекасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago media | Голяма бекасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago stenura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinula chloropus | Зеленоножка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Garrulus glandarius | Сойка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia adamsii | Жълтоклюн гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia arctica | Черногуш гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia immer | Черноклюн гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia stellata | Червеногуш гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gelochelidon nilotica | Дебелоклюна рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Geronticus eremita | Плешив ибис;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glareola nordmanni | Чернокрил огърличник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glareola pratincola | Кафявокрил огърличник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Glaucidium passerinum | Врабчова кукумявка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Grus grus | Сив жерав;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gypaetus barbatus | Брадат лешояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gyps fulvus | Белоглав лешояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haematopus moquini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haematopus ostralegus | Стридояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Halcyon smyrnensis | Белогърдо земеродно рибарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Haliaeetus albicilla | Морски орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hieraaetus fasciatus | Ястребов орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hieraaetus pennatus | Малък орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Himantopus himantopus | Кокилобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Iduna caligata | Малък присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais icterina | Градински присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais languida | Пустинен присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais olivetorum | Голям маслинов присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais pallida | Малък маслинов присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hippolais polyglotta | Бъбрив присмехулник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hirundo daurica | Червенокръста лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hirundo rustica | Селска лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Histrionicus histrionicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hoplopterus indicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hoplopterus spinosus | Шипокрила калугерица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Hydrobates pelagicus | Европейска вълнолюбка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Irania gutturalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ixobrychus minutus | Малък воден бик;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Jynx torquilla | Въртошийка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ketupa zeylonensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lagopus lagopus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lagopus mutus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius collurio | Червеногърба сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius excubitor | Сива сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius minor | Черночела сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius nubicus | Белочела сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lanius senator | Червеноглава сврачка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus argentatus | Сребриста чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus armenicus | Арменска чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus audouinii | Средиземноморската чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus michahellis | Жълтокрака чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus canus | Чайка буревестница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus delawarensis | Пръстенчатоклюна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus fuscus | Малка черногърба чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus genei | Дългоклюна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus glaucoides | Малка белокрила чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus hyperboreus | Голяма белокрила чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus ichthyaetus | Голяма черноглава чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus marinus | Голяма черногърба чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus melanocephalus | Малка черноглава чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus minutus | Малка чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus relictus | Реликтна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus ridibundus | Речна чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus sabini | Вилоопашата чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limicola falcinellus | Блатобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limnodromus scolopaceus | Берингов вретенач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limosa lapponica | Пъстроопашат крайбрежен бекас;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Limosa limosa | Черноопашат крайбрежен бекас;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella fluviatilis | Речен цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella lanceolata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella luscinioides | Тръстиков цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Locustella naevia | Полски цвъркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia curvirostra | Обикновена кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia leucoptera | Белокрила кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia pytyopsittacus | Дебелоклюна кръсточовка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Loxia scotica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lullula arborea | Горска чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia calliope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia luscinia | Северен славей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia megarhynchos | Южен славей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Luscinia svecica | Синьогушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Lymnocryptes minimus | Малка бикасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Marmaronetta angustirostris | Мраморна патица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanitta fusca | Кадифена потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanitta nigra | Траурна потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha bimaculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha calandra | Дебелоклюна чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha leucoptera | Белокрила чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Melanocorypha yeltoniensis | Черна чучулига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Meleagris gallopavo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus albellus | Малък нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus cucullatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus merganser | Голям нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus serrator | Среден нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Merops apiaster | Обикновен пчелояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Merops superciliosus | Зелен пчелояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Miliaria calandra | Сива овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Milvus migrans | Черна каня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Milvus milvus | Червена каня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Monticola saxatilis | Пъстър скален дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
